# TUM track: x_m,y_m,w_tr_right_m,w_tr_left_m (from manual_map_logger; heuristic)
0.011798,0.000038,0.333138,0.457017
0.017576,0.000056,0.307657,0.225801
0.037522,-0.000126,0.309777,0.435440
0.058227,-0.000683,0.262383,0.526130
0.082157,-0.001531,0.245693,0.510483
0.111147,-0.002424,0.211549,0.584767
0.141865,-0.002736,0.249514,0.592332
0.175689,-0.002006,0.235595,0.534196
0.214389,0.000305,0.207692,0.571634
0.252699,0.004180,0.233034,0.590893
0.291829,0.009783,0.231487,0.536903
0.331449,0.017183,0.267748,0.528512
0.371198,0.026394,0.265635,0.437484
0.410185,0.037227,0.252002,0.487382
0.450374,0.050315,0.252002,0.487382
0.489946,0.065202,0.252002,0.487382
0.530301,0.082527,0.307262,0.499049
0.568872,0.101244,0.325480,0.506759
0.642791,0.143563,0.306229,0.497097
0.679253,0.167897,0.301392,0.395410
0.703466,0.185440,0.341586,0.443086
0.716406,0.195247,0.303727,0.587439
0.725502,0.202328,0.255378,0.455642
0.734570,0.209544,0.321361,0.537490
0.740706,0.214536,0.245978,0.478920
0.744871,0.217979,0.325480,0.599715
0.756732,0.227993,0.251406,0.477747
0.770128,0.239710,0.264757,0.527038
0.786066,0.254240,0.354882,0.593701
0.804375,0.271774,0.239727,0.461468
0.822373,0.289970,0.317002,0.520323
0.841806,0.310769,0.226292,0.508520
0.861186,0.332829,0.270118,0.492349
0.880590,0.356383,0.251321,0.624119
0.901838,0.384061,0.251321,0.624119
0.922096,0.412585,0.251321,0.624119
0.941307,0.441888,0.354803,0.540048
0.961428,0.475354,0.290396,1.078458
0.979538,0.508480,0.297607,0.334534
0.996929,0.543627,0.297607,0.334534
1.012411,0.578459,0.297607,0.334534
1.026673,0.614435,0.297607,0.334534
1.039952,0.652501,0.297607,0.334534
1.052176,0.692751,0.302696,0.256127
1.063171,0.730740,0.302696,0.256127
1.075428,0.771286,0.302696,0.256127
1.088275,0.811470,0.320882,0.443257
1.100857,0.848926,0.266663,0.253000
1.113226,0.885405,0.266663,0.253000
1.125320,0.924484,0.266663,0.253000
1.135480,0.962955,0.266663,0.253000
1.143975,1.001576,0.266663,0.253000
1.151021,1.041676,0.266663,0.253000
1.156471,1.083349,0.205275,0.453795
1.160013,1.124638,0.270007,0.389283
1.161751,1.166880,0.204120,0.258985
1.161557,1.210492,0.204120,0.258985
1.159219,1.255769,0.204120,0.258985
1.154749,1.300483,0.257857,0.274089
1.147236,1.350276,0.257857,0.274089
1.137350,1.398372,0.257857,0.274089
1.125006,1.446125,0.257857,0.274089
1.110443,1.492397,0.257857,0.274089
1.094355,1.539012,0.257857,0.274089
1.080008,1.586280,0.257857,0.274089
1.067864,1.634753,0.648951,0.564547
1.058574,1.680875,0.329492,0.223143
1.051322,1.726862,0.316025,0.622463
1.046431,1.772301,0.254002,0.200943
1.043680,1.818622,0.215595,0.205275
1.042800,1.865419,0.406533,0.204749
1.043420,1.914193,0.316665,0.209612
1.044454,1.963482,0.215557,0.201854
1.045385,2.007852,0.202410,0.201698
1.045986,2.036463,0.203953,0.200242
