x_m,y_m,w_tr_right_m,w_tr_left_m
5.014597,6.353569,1.482088,0.550481
5.014597,6.353569,1.481346,0.550384
5.014597,6.353569,1.484978,0.542407
5.014597,6.353569,1.480176,0.555519
5.014597,6.353569,1.478001,0.546255
5.014597,6.353569,1.482027,0.553046
5.014597,6.353569,1.479022,0.553708
5.014597,6.353569,1.48,0.555008
5.014597,6.353569,1.483027,0.554923
5.013877,6.351756,1.480135,0.551816
5.013877,6.351756,1.480217,0.542919
5.013877,6.351756,1.480086,0.554923
5.013877,6.351756,1.479027,0.554203
5.013877,6.351756,1.479414,0.556
5.013506,6.350822,1.478164,0.558037
5.013045,6.349664,1.481194,0.557703
5.010566,6.343426,1.479012,0.556176
5.007526,6.335778,1.482749,0.554374
5.00673,6.333777,1.476597,0.555058
5.005866,6.331603,1.480384,0.551204
5.005866,6.331603,1.479879,0.551678
5.003305,6.32516,1.476686,0.547935
4.998291,6.312546,1.477387,0.555825
4.991619,6.295762,1.475392,0.554073
4.981199,6.269549,1.472001,0.557008
4.972564,6.247825,1.476098,0.558151
4.959896,6.215996,1.472348,0.562008
4.94655,6.182717,1.465211,0.566226
4.932315,6.147256,1.464156,0.573043
4.91722,6.109654,1.459825,0.577001
4.901803,6.071252,1.453659,0.584001
4.886243,6.032549,1.44737,0.589191
4.8703,5.993272,1.432,0.601053
4.854246,5.953782,1.43384,0.60603
4.837988,5.913792,1.417724,0.61
4.821357,5.87288,1.414262,0.62532
4.804551,5.83154,1.405771,0.637095
4.78801,5.790864,1.39671,0.642252
4.771426,5.750321,1.387489,0.659001
4.754783,5.709708,1.378652,0.675019
4.738009,5.668777,1.36992,0.685001
4.721055,5.627406,1.356988,0.696058
4.70383,5.585375,1.348185,0.708001
4.686625,5.543394,1.334189,0.723034
4.669636,5.501937,1.318365,0.742082
4.65248,5.460073,1.304681,0.757006
4.635212,5.417997,1.289789,0.771
4.617508,5.375581,1.276677,0.796003
4.599042,5.333092,1.258,0.813
4.579369,5.29077,1.244219,0.838002
4.558555,5.249504,1.230449,0.847015
4.536463,5.209376,1.220873,0.844001
4.51252,5.169807,1.210293,0.857047
4.487356,5.131503,1.203207,0.849001
4.461418,5.094441,1.195529,0.854001
4.434322,5.057583,1.189319,0.861005
4.40736,5.021523,1.187189,0.862021
4.38084,4.986061,1.176633,0.869021
4.354191,4.950627,1.161561,0.887
4.327613,4.915406,1.155251,0.89727
4.301064,4.880245,1.1412,0.912001
4.274004,4.845245,1.128273,0.928002
4.241607,4.805553,1.122216,0.941043
4.218934,4.779278,1.112224,0.945008
4.188362,4.74553,1.106076,0.952254
4.157272,4.713037,1.100239,0.959013
4.124805,4.680897,1.092989,0.960033
4.091301,4.64934,1.088651,0.963063
4.056015,4.617551,1.080537,0.969008
4.019699,4.586178,1.076487,0.971013
3.982729,4.555502,1.073943,0.973051
3.944817,4.525299,1.062738,0.976131
3.905576,4.495308,1.062057,0.983013
3.865521,4.465958,1.058832,0.984
3.824457,4.437299,1.054002,0.99
3.78284,4.409659,1.050041,0.993041
3.734251,4.37923,1.041624,0.998242
3.697317,4.357377,1.037729,0.999013
3.653306,4.332779,1.038232,0.999162
3.60838,4.309253,1.038624,1.00005
3.56211,4.286616,1.036367,1.002577
3.515625,4.265419,1.036031,1.000032
3.471249,4.246579,1.034059,0.999
3.422286,4.227407,1.038012,0.998032
3.375276,4.210576,1.036124,0.996072
3.327899,4.195028,1.036017,0.995041
3.27974,4.180645,1.043324,0.991
3.231582,4.167674,1.043656,0.986852
3.183176,4.15606,1.04921,0.985592
3.134031,4.145712,1.05208,0.977005
3.08515,4.136846,1.053002,0.975558
3.035746,4.129374,1.062121,0.967988
2.98632,4.123401,1.069092,0.962107
2.93724,4.118772,1.072004,0.955611
2.888382,4.11507,1.089531,0.945986
2.839452,4.111527,1.100029,0.936931
2.79041,4.107977,1.107,0.931134
2.740789,4.104384,1.11065,0.924146
2.691451,4.100812,1.11113,0.92057
2.641776,4.097216,1.113054,0.918375
2.592817,4.093671,1.115,0.916123
2.543619,4.09011,1.107037,0.916707
2.494124,4.086526,1.114614,0.919563
2.444255,4.082916,1.112054,0.918092
2.394481,4.079312,1.108113,0.913002
2.344932,4.075725,1.109002,0.924065
2.295443,4.072142,1.107086,0.927238
2.246035,4.068565,1.098942,0.934043
2.196146,4.064953,1.090706,0.886391
2.145862,4.061312,1.087589,0.825403
2.095893,4.057844,1.080023,0.810514
2.046808,4.054697,1.068813,0.805482
1.997803,4.051568,1.057698,0.79774
1.948523,4.048437,1.043439,0.791056
1.899554,4.045806,1.035415,0.774032
1.849645,4.044678,1.023807,1.867117
1.799848,4.044626,1.03173,1.792032
1.750535,4.04458,1.044001,1.780325
1.701443,4.044011,0.953953,1.783162
1.652363,4.042639,0.92537,1.781768
1.603487,4.04018,0.852988,1.626999
1.555793,4.036479,0.817521,1.565966
1.508446,4.031147,0.711557,1.539831
1.462733,4.023952,0.693649,1.616036
1.417069,4.01541,0.648917,1.517396
1.370482,4.00784,0.624815,1.582963
