# d9c0a438-ff2e-4a68-ba96-755142d0f75a
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.0197954; 0.6877117; 0.1198096; -4.8917060; 1.5662477; -0.0070089
0.0991878; 1.0203985; 0.7812198; -0.0176638; 1.2312264; 1.5658038; 5.2929950
0.1983756; 1.0148840; 0.8822187; 0.1272570; 1.3144069; 1.8712943; 5.2899950
0.2975633; 0.9970508; 0.9777034; 0.2371748; 1.0058613; 2.1333420; 5.2869967
0.3967511; 0.9688431; 1.0739951; 0.3298817; 0.8364683; 2.3664232; 5.2840001
0.4959389; 0.9330710; 1.1663860; 0.4074164; 0.7432882; 2.5784056; 5.2810052
0.5951267; 0.8892683; 1.2583452; 0.4809132; 0.6965446; 2.7741301; 5.2780120
0.6943144; 0.8412288; 1.3433741; 0.5471315; 0.6657242; 2.9568271; 5.2750205
0.7935022; 0.7854749; 1.4283129; 0.6146172; 0.6671227; 3.1287796; 5.2720307
0.8926900; 0.7258479; 1.5071305; 0.6806768; 0.6684561; 3.2916718; 4.7262520
0.9918778; 0.6608294; 1.5821561; 0.7477306; 0.6854818; 3.4311334; 3.8964081
1.0910656; 0.5901683; 1.6532113; 0.8181103; 0.7198328; 3.5419809; 2.9334009
1.1902533; 0.5153620; 1.7183823; 0.8904996; 0.7416865; 3.6231952; -0.8825242
1.2894411; 0.4359355; 1.7778820; 0.9658371; 0.7787267; 3.5989543; -1.6713441
1.3886289; 0.3521207; 1.8310755; 1.0454775; 0.8212331; 3.5525932; -1.5203719
1.4878167; 0.2640204; 1.8773840; 1.1287637; 0.8535237; 3.5098880; -1.2264423
1.5870045; 0.1728972; 1.9158208; 1.2151803; 0.8950021; 3.4750565; -0.9070293
1.6861922; 0.0784904; 1.9461127; 1.3060964; 0.9353463; 3.4490702; -0.5538847
1.7853800; -0.0184383; 1.9675474; 1.4008647; 0.9740020; 3.4331047; -0.0791775
1.8845678; -0.1165053; 1.9794839; 1.4991700; 1.0156282; 3.4308164; -0.0336110
1.9837556; -0.2155090; 1.9815708; 1.6002798; 1.0200756; 3.4298445; -0.0336110
2.0829433; -0.3142807; 1.9736502; 1.7013323; 1.0188703; 3.4288724; -0.0126189
2.1821311; -0.4118168; 1.9557948; 1.8023120; 1.0098648; 3.4285074; 0.0957952
2.2813189; -0.5068145; 1.9284129; 1.8997537; 0.9621573; 3.4312776; 0.6382421
2.3805067; -0.5991684; 1.8919447; 1.9933854; 0.9250944; 3.4496779; 0.9571192
