time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
1780622377.528721,map,-0.038799,-0.007214,0.000000,0.036996,0.298530,0.618361,1780622377.326507
1780622377.629049,map,-0.038284,-0.007094,0.000000,0.036996,0.298530,0.618361,1780622377.326507
1780622377.728657,map,-0.039055,-0.007360,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622377.828759,map,-0.039952,-0.007756,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622377.928764,map,-0.039127,-0.007553,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622378.028997,map,-0.039981,-0.007955,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622378.128980,map,-0.039174,-0.007763,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622378.228844,map,-0.040041,-0.008170,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622378.329094,map,-0.039227,-0.007969,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622378.428619,map,-0.040086,-0.008376,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622378.528889,map,-0.039255,-0.008160,0.000000,0.036995,0.298530,0.618361,1780622377.326507
1780622378.628846,map,-0.056669,-0.014589,0.000000,0.036961,0.296951,0.616332,1780622378.426412
1780622378.728666,map,-0.055813,-0.014363,0.000000,0.036961,0.296951,0.616332,1780622378.426412
1780622378.828645,map,-0.056724,-0.014769,0.000000,0.036961,0.296951,0.616332,1780622378.426412
1780622378.928753,map,-0.055910,-0.014538,0.000000,0.036961,0.296951,0.616332,1780622378.426412
1780622379.028939,map,-0.056373,-0.015209,0.000000,0.036964,0.268812,0.616501,1780622378.826533
1780622379.128653,map,-0.055497,-0.014938,0.000000,0.036964,0.268812,0.616501,1780622378.826533
1780622379.228605,map,-0.056421,-0.015346,0.000000,0.036964,0.268812,0.616501,1780622378.826533
1780622379.329138,map,-0.055545,-0.015069,0.000000,0.036964,0.268812,0.616501,1780622378.826533
1780622379.428672,map,-0.056412,-0.015454,0.000000,0.036964,0.268812,0.616501,1780622378.826533
1780622379.528846,map,-0.055577,-0.015185,0.000000,0.036964,0.268812,0.616501,1780622378.826533
1780622379.628790,map,-0.056443,-0.015550,0.000000,0.036964,0.268812,0.616501,1780622378.826533
1780622379.728750,map,-0.055616,-0.015253,0.000000,0.036964,0.268812,0.616501,1780622378.826533
1780622379.828908,map,-0.055807,-0.015248,0.000000,0.036947,0.239040,0.608963,1780622379.626450
1780622379.928753,map,-0.054921,-0.014917,0.000000,0.036947,0.239040,0.608963,1780622379.626450
1780622380.028570,map,-0.055865,-0.015312,0.000000,0.036947,0.239040,0.608963,1780622379.626450
1780622380.128642,map,-0.055005,-0.015004,0.000000,0.036947,0.239040,0.608963,1780622379.626450
1780622380.228777,map,-0.055865,-0.015390,0.000000,0.036947,0.239040,0.608963,1780622379.626450
1780622380.328669,map,-0.036571,-0.009414,0.000000,0.036921,0.253340,0.616028,1780622380.126493
1780622380.428822,map,-0.037581,-0.009854,0.000000,0.036921,0.253340,0.616028,1780622380.126493
1780622380.528642,map,-0.036655,-0.009515,0.000000,0.036921,0.253340,0.616028,1780622380.126493
1780622380.628564,map,-0.056147,-0.015030,0.000000,0.036895,0.274104,0.625799,1780622380.426514
1780622380.728801,map,-0.035349,-0.008870,0.000000,0.036821,0.237320,0.615430,1780622380.526241
1780622380.828792,map,-0.054385,-0.015454,0.000000,0.036900,0.235936,0.616543,1780622380.626535
1780622380.929497,map,-0.053503,-0.015110,0.000000,0.036900,0.235936,0.616543,1780622380.626535
1780622381.028883,map,-0.054383,-0.015483,0.000000,0.036900,0.235936,0.616543,1780622380.626535
1780622381.128705,map,-0.053512,-0.015145,0.000000,0.036900,0.235936,0.616543,1780622380.626535
1780622381.228702,map,-0.054359,-0.015504,0.000000,0.036900,0.235936,0.616543,1780622380.626535
1780622381.328661,map,-0.053515,-0.015172,0.000000,0.036900,0.235936,0.616543,1780622380.626535
