x_m,y_m
0.5106,-0.2172
0.5116,-0.2235
0.5115,-0.2315
0.5103,-0.2410
0.5081,-0.2521
0.5017,-0.2604
0.4964,-0.2660
0.4942,-0.2715
0.4962,-0.2785
0.5025,-0.2872
0.5093,-0.2960
0.5160,-0.3049
0.5227,-0.3137
0.5254,-0.3193
0.5271,-0.3261
0.5304,-0.3364
0.5345,-0.3489
0.5380,-0.3617
0.5409,-0.3748
0.5434,-0.3883
0.5439,-0.4004
0.5406,-0.4092
0.5375,-0.4178
0.5349,-0.4293
0.5305,-0.4415
0.5241,-0.4537
0.5159,-0.4661
0.5061,-0.4786
0.4944,-0.4913
0.4823,-0.5055
0.4719,-0.5210
0.4632,-0.5351
0.4554,-0.5466
0.4479,-0.5583
0.4395,-0.5696
0.4301,-0.5804
0.4198,-0.5908
0.4085,-0.6007
0.3965,-0.6101
0.3833,-0.6216
0.3689,-0.6375
0.3537,-0.6562
0.3382,-0.6746
0.3247,-0.6909
0.3150,-0.7035
0.3090,-0.7124
0.3069,-0.7177
0.3062,-0.7199
0.3047,-0.7199
0.3022,-0.7177
0.2990,-0.7132
0.2987,-0.7086
0.2997,-0.7061
0.2987,-0.7064
0.2929,-0.7077
0.2823,-0.7100
0.2694,-0.7128
0.2604,-0.7180
0.2554,-0.7258
0.2533,-0.7361
0.2483,-0.7466
0.2398,-0.7570
0.2293,-0.7681
0.2196,-0.7816
0.2105,-0.7975
0.2020,-0.8156
0.1902,-0.8333
0.1750,-0.8503
0.1584,-0.8633
0.1426,-0.8717
0.1276,-0.8756
0.1134,-0.8752
0.1001,-0.8704
0.0878,-0.8612
0.0765,-0.8478
0.0662,-0.8302
0.0570,-0.8085
0.0481,-0.7861
0.0381,-0.7649
0.0265,-0.7453
0.0134,-0.7274
-0.0012,-0.7110
-0.0163,-0.6967
-0.0288,-0.6871
-0.0386,-0.6820
-0.0457,-0.6815
-0.0504,-0.6851
-0.0540,-0.6877
-0.0561,-0.6885
-0.0567,-0.6878
-0.0559,-0.6856
-0.0544,-0.6811
-0.0568,-0.6730
-0.0631,-0.6613
-0.0731,-0.6458
-0.0867,-0.6269
-0.1013,-0.6088
-0.1169,-0.5913
-0.1335,-0.5746
-0.1509,-0.5585
-0.1693,-0.5429
-0.1873,-0.5270
-0.2050,-0.5107
-0.2223,-0.4940
-0.2393,-0.4770
-0.2559,-0.4597
-0.2722,-0.4419
-0.2879,-0.4238
-0.3024,-0.4062
-0.3126,-0.3916
-0.3185,-0.3802
-0.3202,-0.3718
-0.3177,-0.3667
-0.3111,-0.3648
-0.3004,-0.3661
-0.2857,-0.3708
-0.2703,-0.3758
-0.2559,-0.3801
-0.2452,-0.3809
-0.2383,-0.3781
-0.2350,-0.3719
-0.2353,-0.3621
-0.2393,-0.3487
-0.2469,-0.3318
-0.2578,-0.3112
-0.2680,-0.2927
-0.2758,-0.2789
-0.2815,-0.2699
-0.2851,-0.2658
-0.2866,-0.2667
-0.2861,-0.2725
-0.2835,-0.2832
-0.2790,-0.2986
-0.2727,-0.3139
-0.2655,-0.3264
-0.2584,-0.3337
-0.2513,-0.3360
-0.2441,-0.3331
-0.2377,-0.3251
-0.2324,-0.3119
-0.2282,-0.2935
-0.2250,-0.2701
-0.2227,-0.2472
-0.2218,-0.2294
-0.2222,-0.2169
-0.2239,-0.2095
-0.2270,-0.2072
-0.2309,-0.2102
-0.2342,-0.2162
-0.2361,-0.2223
-0.2368,-0.2287
-0.2362,-0.2347
-0.2340,-0.2356
-0.2301,-0.2315
-0.2246,-0.2223
-0.2175,-0.2080
-0.2089,-0.1889
-0.2021,-0.1716
-0.1980,-0.1589
-0.1965,-0.1508
-0.1972,-0.1463
-0.1974,-0.1421
-0.1972,-0.1380
-0.1966,-0.1342
-0.1955,-0.1306
-0.1940,-0.1271
-0.1890,-0.1199
-0.1799,-0.1112
-0.1664,-0.1010
-0.1494,-0.0901
-0.1313,-0.0821
-0.1120,-0.0770
-0.0917,-0.0746
-0.0701,-0.0751
-0.0475,-0.0784
-0.0240,-0.0838
-0.0005,-0.0892
0.0230,-0.0946
0.0464,-0.0999
0.0699,-0.1053
0.0934,-0.1107
0.1169,-0.1161
0.1404,-0.1214
0.1638,-0.1268
0.1873,-0.1322
0.2108,-0.1376
0.2343,-0.1430
0.2577,-0.1483
0.2812,-0.1537
0.3047,-0.1591
0.3282,-0.1645
0.3517,-0.1698
0.3751,-0.1752
0.3986,-0.1806
0.4221,-0.1860
0.4456,-0.1913
0.4691,-0.1967
0.4873,-0.2020
0.5003,-0.2072
0.5080,-0.2122
