time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
0.000,odom,1.247296,0.920193,0,0,,,
0.020,odom,1.247296,0.920193,0,0,,,
0.040,odom,1.247296,0.920193,0,0,,,
0.060,odom,1.247296,0.920193,0,0,,,
0.080,odom,1.247296,0.920193,0,0,,,
0.100,odom,1.247296,0.920193,0,0,,,
0.120,odom,1.247296,0.920193,0,0,,,
0.140,odom,1.247296,0.920193,0,0,,,
0.160,odom,1.247296,0.920193,0,0,,,
0.180,odom,1.247296,0.920193,0,0,,,
0.200,odom,1.247296,0.920193,0,0,,,
0.220,odom,1.247296,0.920193,0,0,,,
0.240,odom,1.247296,0.920193,0,0,,,
0.260,odom,1.247296,0.920193,0,0,,,
0.280,odom,1.247296,0.920193,0,0,,,
0.300,odom,1.247296,0.920193,0,0,,,
0.320,odom,1.247296,0.920193,0,0,,,
0.340,odom,1.247296,0.920193,0,0,,,
0.360,odom,1.247296,0.920193,0,0,,,
0.380,odom,1.247296,0.920193,0,0,,,
0.400,odom,1.247296,0.920193,0,0,,,
0.420,odom,1.247296,0.920193,0,0,,,
0.440,odom,1.247296,0.920193,0,0,,,
0.460,odom,1.247296,0.920193,0,0,,,
0.480,odom,1.247296,0.920193,0,0,,,
0.500,odom,1.247296,0.920193,0,0,,,
0.520,odom,1.247296,0.920193,0,0,,,
0.540,odom,1.247296,0.920193,0,0,,,
0.560,odom,1.247296,0.920193,0,0,,,
0.580,odom,1.247296,0.920193,0,0,,,
0.600,odom,1.247296,0.920193,0,0,,,
0.620,odom,1.247296,0.920193,0,0,,,
0.640,odom,1.247296,0.920193,0,0,,,
0.660,odom,1.247296,0.920193,0,0,,,
0.680,odom,1.247296,0.920193,0,0,,,
0.700,odom,1.247296,0.920193,0,0,,,
0.720,odom,1.247296,0.920193,0,0,,,
0.740,odom,1.247296,0.920193,0,0,,,
0.760,odom,1.247296,0.920193,0,0,,,
0.780,odom,1.247296,0.920193,0,0,,,
0.800,odom,1.247296,0.920193,0,0,,,
0.820,odom,1.247296,0.920193,0,0,,,
0.840,odom,1.247296,0.920193,0,0,,,
0.860,odom,1.247296,0.920193,0,0,,,
0.880,odom,1.247296,0.920193,0,0,,,
0.900,odom,1.247296,0.920193,0,0,,,
0.920,odom,1.247296,0.920193,0,0,,,
0.940,odom,1.247296,0.920193,0,0,,,
0.960,odom,1.247296,0.920193,0,0,,,
0.980,odom,1.247296,0.920193,0,0,,,
1.000,odom,1.247296,0.920193,0,0,,,
1.020,odom,1.247296,0.920193,0,0,,,
1.040,odom,1.247296,0.920193,0,0,,,
1.060,odom,1.247296,0.920193,0,0,,,
1.080,odom,1.247296,0.920193,0,0,,,
1.100,odom,1.247296,0.920193,0,0,,,
1.120,odom,1.247296,0.920193,0,0,,,
1.140,odom,1.247296,0.920193,0,0,,,
1.160,odom,1.247296,0.920193,0,0,,,
1.180,odom,1.247296,0.920193,0,0,,,
1.200,odom,1.247296,0.920193,0,0,,,
1.220,odom,1.247296,0.920193,0,0,,,
1.240,odom,1.247296,0.920193,0,0,,,
1.260,odom,1.247296,0.920193,0,0,,,
1.280,odom,1.247296,0.920193,0,0,,,
1.300,odom,1.247296,0.920193,0,0,,,
1.320,odom,1.247296,0.920193,0,0,,,
1.340,odom,1.247296,0.920193,0,0,,,
1.360,odom,1.247296,0.920193,0,0,,,
1.380,odom,1.247296,0.920193,0,0,,,
1.400,odom,1.247296,0.920193,0,0,,,
1.420,odom,1.247296,0.920193,0,0,,,
1.440,odom,1.247296,0.920193,0,0,,,
1.460,odom,1.247296,0.920193,0,0,,,
1.480,odom,1.247296,0.920193,0,0,,,
1.500,odom,1.247296,0.920193,0,0,,,
1.520,odom,1.247296,0.920193,0,0,,,
1.540,odom,1.247296,0.920193,0,0,,,
1.560,odom,1.247296,0.920193,0,0,,,
1.580,odom,1.247296,0.920193,0,0,,,
1.600,odom,1.247296,0.920193,0,0,,,
1.620,odom,1.247296,0.920193,0,0,,,
1.640,odom,1.247296,0.920193,0,0,,,
1.660,odom,1.247296,0.920193,0,0,,,
1.680,odom,1.247296,0.920193,0,0,,,
1.700,odom,1.247296,0.920193,0,0,,,
1.720,odom,1.247296,0.920193,0,0,,,
1.740,odom,1.247296,0.920193,0,0,,,
1.760,odom,1.247296,0.920193,0,0,,,
1.780,odom,1.247296,0.920193,0,0,,,
1.800,odom,1.247296,0.920193,0,0,,,
1.820,odom,1.247296,0.920193,0,0,,,
1.840,odom,1.247296,0.920193,0,0,,,
1.860,odom,1.247296,0.920193,0,0,,,
1.880,odom,1.247296,0.920193,0,0,,,
1.900,odom,1.247296,0.920193,0,0,,,
1.920,odom,1.247296,0.920193,0,0,,,
1.940,odom,1.247296,0.920193,0,0,,,
1.960,odom,1.247296,0.920193,0,0,,,
1.980,odom,1.247296,0.920193,0,0,,,
2.000,odom,1.247296,0.920193,0,0,,,
2.020,odom,1.247296,0.920193,0,0,,,
2.040,odom,1.247296,0.920193,0,0,,,
2.060,odom,1.247296,0.920193,0,0,,,
2.080,odom,1.247296,0.920193,0,0,,,
2.100,odom,1.247296,0.920193,0,0,,,
2.120,odom,1.247296,0.920193,0,0,,,
2.140,odom,1.247296,0.920193,0,0,,,
2.160,odom,1.247296,0.920193,0,0,,,
2.180,odom,1.247296,0.920193,0,0,,,
2.200,odom,1.247296,0.920193,0,0,,,
2.220,odom,1.247296,0.920193,0,0,,,
2.240,odom,1.247296,0.920193,0,0,,,
2.260,odom,1.247296,0.920193,0,0,,,
2.280,odom,1.247296,0.920193,0,0,,,
2.300,odom,1.247296,0.920193,0,0,,,
2.320,odom,1.247296,0.920193,0,0,,,
2.340,odom,1.247296,0.920193,0,0,,,
2.360,odom,1.247296,0.920193,0,0,,,
2.380,odom,1.247296,0.920193,0,0,,,
2.400,odom,1.247296,0.920193,0,0,,,
2.420,odom,1.247296,0.920193,0,0,,,
2.440,odom,1.247296,0.920193,0,0,,,
2.460,odom,1.247296,0.920193,0,0,,,
2.480,odom,1.247296,0.920193,0,0,,,
2.500,odom,1.247296,0.920193,0,0,,,
2.520,odom,1.247296,0.920193,0,0,,,
2.540,odom,1.247296,0.920193,0,0,,,
2.560,odom,1.247296,0.920193,0,0,,,
2.580,odom,1.247296,0.920193,0,0,,,
2.600,odom,1.247296,0.920193,0,0,,,
2.620,odom,1.247296,0.920193,0,0,,,
2.640,odom,1.247296,0.920193,0,0,,,
2.660,odom,1.247296,0.920193,0,0,,,
2.680,odom,1.247296,0.920193,0,0,,,
2.700,odom,1.247296,0.920193,0,0,,,
2.720,odom,1.247296,0.920193,0,0,,,
2.740,odom,1.247296,0.920193,0,0,,,
2.760,odom,1.247296,0.920193,0,0,,,
2.780,odom,1.247296,0.920193,0,0,,,
2.800,odom,1.247296,0.920193,0,0,,,
2.820,odom,1.247296,0.920193,0,0,,,
2.840,odom,1.247296,0.920193,0,0,,,
2.860,odom,1.247296,0.920193,0,0,,,
2.880,odom,1.247296,0.920193,0,0,,,
2.900,odom,1.247296,0.920193,0,0,,,
2.920,odom,1.247296,0.920193,0,0,,,
2.940,odom,1.247296,0.920193,0,0,,,
2.960,odom,1.247296,0.920193,0,0,,,
2.980,odom,1.247296,0.920193,0,0,,,
3.000,odom,1.247296,0.920193,0,0,,,
3.020,odom,1.247296,0.920193,0,0,,,
3.040,odom,1.247296,0.920193,0,0,,,
3.060,odom,1.247296,0.920193,0,0,,,
3.080,odom,1.247296,0.920193,0,0,,,
3.100,odom,1.247296,0.920193,0,0,,,
3.120,odom,1.247296,0.920193,0,0,,,
3.140,odom,1.247296,0.920193,0,0,,,
3.160,odom,1.247296,0.920193,0,0,,,
3.180,odom,1.247296,0.920193,0,0,,,
3.200,odom,1.247296,0.920193,0,0,,,
3.220,odom,1.247296,0.920193,0,0,,,
3.240,odom,1.247296,0.920193,0,0,,,
3.260,odom,1.247296,0.920193,0,0,,,
3.280,odom,1.247296,0.920193,0,0,,,
3.300,odom,1.247296,0.920193,0,0,,,
3.320,odom,1.247296,0.920193,0,0,,,
3.340,odom,1.247296,0.920193,0,0,,,
3.360,odom,1.247296,0.920193,0,0,,,
3.380,odom,1.247296,0.920193,0,0,,,
3.400,odom,1.247296,0.920193,0,0,,,
3.420,odom,1.247296,0.920193,0,0,,,
3.440,odom,1.247296,0.920193,0,0,,,
3.460,odom,1.247296,0.920193,0,0,,,
3.480,odom,1.247296,0.920193,0,0,,,
3.500,odom,1.247296,0.920193,0,0,,,
3.520,odom,1.247296,0.920193,0,0,,,
3.540,odom,1.247296,0.920193,0,0,,,
3.560,odom,1.247296,0.920193,0,0,,,
3.580,odom,1.247296,0.920193,0,0,,,
3.600,odom,1.247296,0.920193,0,0,,,
3.620,odom,1.247296,0.920193,0,0,,,
3.640,odom,1.247296,0.920193,0,0,,,
3.660,odom,1.247296,0.920193,0,0,,,
3.680,odom,1.247296,0.920193,0,0,,,
3.700,odom,1.247296,0.920193,0,0,,,
3.720,odom,1.247296,0.920193,0,0,,,
3.740,odom,1.247296,0.920193,0,0,,,
3.760,odom,1.247296,0.920193,0,0,,,
3.780,odom,1.247296,0.920193,0,0,,,
3.800,odom,1.247296,0.920193,0,0,,,
3.820,odom,1.247296,0.920193,0,0,,,
3.840,odom,1.247296,0.920193,0,0,,,
