x_m,y_m
1.3239,1.5225
1.3253,1.5535
1.3247,1.5844
1.3218,1.6154
1.3166,1.6463
1.3089,1.6771
1.3000,1.7075
1.2898,1.7376
1.2784,1.7672
1.2658,1.7963
1.2521,1.8249
1.2372,1.8529
1.2211,1.8802
1.2039,1.9069
1.1857,1.9328
1.1665,1.9580
1.1461,1.9824
1.1249,2.0059
1.1027,2.0286
1.0796,2.0503
1.0556,2.0711
1.0308,2.0908
1.0052,2.1096
0.9789,2.1273
0.9518,2.1439
0.9242,2.1594
0.8959,2.1737
0.8671,2.1870
0.8377,2.1990
0.8079,2.2098
0.7777,2.2194
0.7471,2.2278
0.7161,2.2349
0.6850,2.2408
0.6536,2.2454
0.6220,2.2487
0.5904,2.2507
0.5587,2.2514
0.5270,2.2508
0.4953,2.2489
0.4637,2.2457
0.4323,2.2413
0.4011,2.2356
0.3702,2.2286
0.3396,2.2203
0.3093,2.2108
0.2795,2.2001
0.2501,2.1881
0.2212,2.1750
0.1929,2.1607
0.1652,2.1452
0.1382,2.1287
0.1118,2.1110
0.0862,2.0923
0.0614,2.0725
0.0374,2.0518
0.0143,2.0301
-0.0080,2.0075
-0.0294,1.9840
-0.0500,1.9599
-0.0697,1.9350
-0.0888,1.9095
-0.1073,1.8836
-0.1253,1.8573
-0.1429,1.8307
-0.1602,1.8039
-0.1773,1.7770
-0.1942,1.7499
-0.2110,1.7228
-0.2277,1.6956
-0.2442,1.6683
-0.2605,1.6409
-0.2765,1.6133
-0.2921,1.5856
-0.3075,1.5576
-0.3224,1.5294
-0.3369,1.5010
-0.3509,1.4724
-0.3644,1.4436
-0.3775,1.4145
-0.3900,1.3852
-0.4020,1.3557
-0.4134,1.3260
-0.4243,1.2960
-0.4345,1.2658
-0.4441,1.2355
-0.4530,1.2049
-0.4613,1.1741
-0.4688,1.1432
-0.4756,1.1121
-0.4816,1.0808
-0.4868,1.0494
-0.4912,1.0179
-0.4948,0.9863
-0.4975,0.9546
-0.4993,0.9228
-0.5002,0.8910
-0.5002,0.8592
-0.4993,0.8274
-0.4975,0.7957
-0.4947,0.7640
-0.4909,0.7324
-0.4862,0.7010
-0.4805,0.6697
-0.4737,0.6387
-0.4659,0.6079
-0.4570,0.5774
-0.4471,0.5472
-0.4361,0.5174
-0.4239,0.4881
-0.4106,0.4593
-0.3962,0.4311
-0.3806,0.4034
-0.3640,0.3764
-0.3462,0.3501
-0.3275,0.3246
-0.3076,0.2998
-0.2868,0.2759
-0.2650,0.2528
-0.2423,0.2307
-0.2187,0.2095
-0.1943,0.1892
-0.1691,0.1700
-0.1431,0.1519
-0.1163,0.1348
-0.0889,0.1188
-0.0609,0.1040
-0.0323,0.0903
-0.0031,0.0778
0.0265,0.0665
0.0566,0.0563
0.0870,0.0475
0.1178,0.0399
0.1489,0.0335
0.1802,0.0283
0.2117,0.0245
0.2433,0.0219
0.2750,0.0206
0.3067,0.0206
0.3384,0.0220
0.3700,0.0246
0.4015,0.0285
0.4328,0.0336
0.4638,0.0401
0.4946,0.0478
0.5250,0.0567
0.5550,0.0669
0.5846,0.0784
0.6137,0.0910
0.6423,0.1047
0.6703,0.1197
0.6976,0.1358
0.7243,0.1529
0.7502,0.1712
0.7754,0.1905
0.7997,0.2108
0.8233,0.2321
0.8459,0.2543
0.8676,0.2775
0.8883,0.3015
0.9081,0.3263
0.9268,0.3519
0.9444,0.3783
0.9610,0.4053
0.9764,0.4330
0.9907,0.4613
1.0039,0.4902
1.0161,0.5195
1.0275,0.5492
1.0383,0.5791
1.0485,0.6093
1.0584,0.6396
1.0680,0.6700
1.0775,0.7005
1.0870,0.7309
1.0966,0.7614
1.1063,0.7918
1.1160,0.8221
1.1257,0.8525
1.1354,0.8829
1.1451,0.9133
1.1548,0.9437
1.1645,0.9741
1.1742,1.0045
1.1839,1.0349
1.1936,1.0653
1.2033,1.0957
1.2130,1.1260
1.2227,1.1564
1.2324,1.1868
1.2421,1.2172
1.2518,1.2476
1.2615,1.2780
1.2712,1.3084
1.2809,1.3388
1.2906,1.3692
1.3003,1.3996
1.3086,1.4301
1.3154,1.4608
1.3205,1.4916
