time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
0.000,map,1.247296,0.920193,0,1.318995,,,
0.100,map,1.230799,0.837723,0,1.305070,,,
0.200,map,1.229098,0.833412,0,1.309141,,,
0.300,map,1.233893,0.877963,0,1.301787,,,
0.400,map,1.237309,0.888830,0,1.302339,,,
0.500,map,1.233002,0.881062,0,1.298787,,,
0.600,map,1.236640,0.889305,0,1.302541,,,
0.700,map,1.238562,0.891783,0,1.311269,,,
0.800,map,1.237158,0.891941,0,1.311054,,,
0.900,map,1.235343,0.890423,0,1.306706,,,
1.000,map,1.238552,0.897882,0,1.307054,,,
1.100,map,1.237228,0.899257,0,1.306687,,,
1.200,map,1.235759,0.885235,0,1.312091,,,
1.300,map,1.236937,0.880835,0,1.305532,,,
1.400,map,1.230946,0.874779,0,1.305177,,,
1.500,map,1.231093,0.875440,0,1.305289,,,
1.600,map,1.231055,0.873083,0,1.303505,,,
1.700,map,1.232943,0.878425,0,1.302940,,,
1.800,map,1.233604,0.878267,0,1.302166,,,
1.900,map,1.236248,0.887266,0,1.301803,,,
2.000,map,1.234063,0.887349,0,1.302014,,,
2.100,map,1.234692,0.882920,0,1.301127,,,
2.200,map,1.235138,0.888684,0,1.308903,,,
2.300,map,1.235327,0.887634,0,1.307888,,,
2.400,map,1.236081,0.889678,0,1.303741,,,
2.500,map,1.236600,0.895491,0,1.305124,,,
2.600,map,1.237715,0.890129,0,1.308767,,,
2.700,map,1.237439,0.891316,0,1.307724,,,
2.800,map,1.236606,0.893511,0,1.303319,,,
2.900,map,1.236465,0.894026,0,1.307702,,,
3.000,map,1.237428,0.891512,0,1.308912,,,
3.100,map,1.237540,0.892712,0,1.308699,,,
3.200,map,1.237957,0.889667,0,1.312961,,,
3.300,map,1.238305,0.893401,0,1.312620,,,
3.400,map,1.236948,0.893851,0,1.310923,,,
3.500,map,1.234684,0.890005,0,1.316875,,,
3.600,map,1.238005,0.894496,0,1.313757,,,
3.700,map,1.234516,0.886986,0,1.317232,,,
3.800,map,1.236583,0.889363,0,1.314446,,,
3.900,map,1.236610,0.888615,0,1.313541,,,
4.000,map,1.238019,0.895291,0,1.311865,,,
4.100,map,1.238499,0.893286,0,1.312246,,,
4.200,map,1.237627,0.895402,0,1.312093,,,
4.300,map,1.239430,0.894767,0,1.310309,,,
4.400,map,1.237243,0.893701,0,1.310801,,,
4.500,map,1.236853,0.889969,0,1.310083,,,
4.600,map,1.238977,0.894513,0,1.308402,,,
4.700,map,1.237091,0.892964,0,1.311666,,,
4.800,map,1.235432,0.890090,0,1.316465,,,
4.900,map,1.235191,0.886076,0,1.317110,,,
5.000,map,1.234666,0.887172,0,1.312629,,,
5.100,map,1.237207,0.889589,0,1.313606,,,
5.200,map,1.238443,0.886325,0,1.311978,,,
5.300,map,1.237701,0.889255,0,1.310245,,,
5.400,map,1.235729,0.888669,0,1.310304,,,
5.500,map,1.236411,0.896745,0,1.315550,,,
5.600,map,1.235164,0.895353,0,1.310671,,,
5.700,map,1.235850,0.898242,0,1.310798,,,
5.800,map,1.238830,0.904787,0,1.314360,,,
5.900,map,1.239700,0.907149,0,1.315191,,,
6.000,map,1.241363,0.907725,0,1.309400,,,
6.100,map,1.246653,0.924651,0,1.305972,,,
6.200,map,1.247612,0.944500,0,1.305079,,,
6.300,map,1.253853,0.969340,0,1.305788,,,
6.400,map,1.266079,1.001037,0,1.304331,,,
6.500,map,1.268453,1.023224,0,1.304435,,,
6.600,map,1.277823,1.052116,0,1.301524,,,
6.700,map,1.280835,1.085708,0,1.289649,,,
6.800,map,1.286545,1.118276,0,1.293368,,,
6.900,map,1.293052,1.144924,0,1.297593,,,
7.000,map,1.298971,1.177509,0,1.301551,,,
7.100,map,1.305608,1.202510,0,1.312573,,,
7.200,map,1.314266,1.232785,0,1.327773,,,
7.300,map,1.320923,1.262555,0,1.350645,,,
7.400,map,1.325981,1.293915,0,1.366906,,,
7.500,map,1.327055,1.326922,0,1.382590,,,
7.600,map,1.330333,1.357087,0,1.400475,,,
7.700,map,1.332239,1.380514,0,1.415276,,,
7.800,map,1.338831,1.430852,0,1.439672,,,
7.900,map,1.334444,1.463830,0,1.471151,,,
8.000,map,1.337587,1.497685,0,1.498443,,,
8.100,map,1.335592,1.532505,0,1.530004,,,
8.200,map,1.330121,1.561872,0,1.566926,,,
8.300,map,1.321230,1.592189,0,1.607397,,,
8.400,map,1.314224,1.629837,0,1.639007,,,
8.500,map,1.306600,1.662327,0,1.677544,,,
8.600,map,1.298207,1.697123,0,1.720833,,,
8.700,map,1.292702,1.733247,0,1.755997,,,
8.800,map,1.276931,1.754208,0,1.797671,,,
8.900,map,1.262395,1.776687,0,1.838401,,,
9.000,map,1.246865,1.803164,0,1.877225,,,
9.100,map,1.235749,1.835616,0,1.917647,,,
9.200,map,1.217205,1.861251,0,1.952133,,,
9.300,map,1.196978,1.887745,0,1.992286,,,
9.400,map,1.174930,1.907725,0,2.031920,,,
9.500,map,1.156399,1.930350,0,2.072823,,,
9.600,map,1.134492,1.941652,0,2.114552,,,
9.700,map,1.111053,1.961033,0,2.147160,,,
9.800,map,1.097969,1.979690,0,2.184205,,,
9.900,map,1.077588,1.997091,0,2.223251,,,
10.000,map,1.055699,2.018740,0,2.261313,,,
10.100,map,1.028391,2.039656,0,2.293450,,,
10.200,map,1.003420,2.059243,0,2.327905,,,
10.300,map,0.978259,2.073661,0,2.358309,,,
10.400,map,0.948438,2.098694,0,2.401635,,,
10.500,map,0.927412,2.113837,0,2.437725,,,
10.600,map,0.904308,2.124179,0,2.471031,,,
10.700,map,0.894757,2.127871,0,2.488504,,,
10.800,map,0.873330,2.136558,0,2.508236,,,
10.900,map,0.869751,2.140218,0,2.519210,,,
11.000,map,0.855773,2.135164,0,2.536945,,,
11.100,map,0.842918,2.143764,0,2.553183,,,
11.200,map,0.831848,2.147655,0,2.569897,,,
11.300,map,0.811914,2.155946,0,2.593619,,,
11.400,map,0.788292,2.156366,0,2.621578,,,
11.500,map,0.767630,2.165550,0,2.647560,,,
11.600,map,0.748773,2.170977,0,2.670503,,,
11.700,map,0.726033,2.182636,0,2.703158,,,
11.800,map,0.697943,2.192997,0,2.735342,,,
11.900,map,0.669170,2.198764,0,2.762184,,,
12.000,map,0.648119,2.202969,0,2.790093,,,
12.100,map,0.621412,2.205991,0,2.826722,,,
12.200,map,0.594619,2.213370,0,2.861086,,,
12.300,map,0.562820,2.217722,0,2.899813,,,
12.400,map,0.531088,2.216664,0,2.930381,,,
12.500,map,0.501309,2.222210,0,2.957308,,,
12.600,map,0.466812,2.213763,0,2.986550,,,
12.700,map,0.427552,2.213281,0,3.033869,,,
12.800,map,0.393348,2.199126,0,3.073559,,,
12.900,map,0.366101,2.204143,0,3.093404,,,
13.000,map,0.336807,2.203106,0,3.140248,,,
13.100,map,0.305392,2.189312,0,3.172822,,,
13.200,map,0.277774,2.194161,0,3.214962,,,
13.300,map,0.245964,2.182971,0,3.244592,,,
13.400,map,0.218181,2.175468,0,3.268234,,,
13.500,map,0.186720,2.167196,0,3.315770,,,
13.600,map,0.156938,2.158047,0,3.354704,,,
13.700,map,0.140415,2.148306,0,3.366450,,,
13.800,map,0.110710,2.135724,0,3.404136,,,
13.900,map,0.082084,2.114781,0,3.433793,,,
14.000,map,0.058320,2.092104,0,3.455772,,,
14.100,map,0.028272,2.085885,0,3.503667,,,
14.200,map,0.005323,2.073983,0,3.536341,,,
14.300,map,-0.011385,2.044004,0,3.543449,,,
14.400,map,-0.041033,2.020167,0,3.584036,,,
14.500,map,-0.070601,2.002272,0,3.620918,,,
14.600,map,-0.100110,1.972083,0,3.654054,,,
14.700,map,-0.126737,1.933566,0,3.684505,,,
14.800,map,-0.150104,1.903583,0,3.718316,,,
14.900,map,-0.173463,1.883328,0,3.754452,,,
15.000,map,-0.204790,1.829471,0,3.790172,,,
15.100,map,-0.218077,1.816360,0,3.829248,,,
15.200,map,-0.230206,1.805008,0,3.861835,,,
15.300,map,-0.244883,1.785683,0,3.902023,,,
15.400,map,-0.254959,1.759730,0,3.931524,,,
15.500,map,-0.269201,1.729700,0,3.954716,,,
15.600,map,-0.274828,1.710468,0,3.964645,,,
15.700,map,-0.296016,1.684795,0,3.963929,,,
15.800,map,-0.314415,1.657234,0,3.961682,,,
15.900,map,-0.337161,1.632643,0,3.953022,,,
16.000,map,-0.358827,1.610856,0,3.945473,,,
16.100,map,-0.377902,1.584230,0,3.937469,,,
16.200,map,-0.399576,1.573700,0,3.940714,,,
16.300,map,-0.407623,1.546389,0,3.949735,,,
16.400,map,-0.424246,1.529689,0,3.964042,,,
16.500,map,-0.423722,1.520747,0,3.990847,,,
16.600,map,-0.439432,1.502299,0,4.006717,,,
16.700,map,-0.455220,1.481386,0,4.022554,,,
16.800,map,-0.468870,1.461199,0,4.038956,,,
16.900,map,-0.481788,1.439592,0,4.051730,,,
17.000,map,-0.490891,1.420145,0,4.068840,,,
17.100,map,-0.503370,1.397397,0,4.087002,,,
17.200,map,-0.509219,1.378418,0,4.106309,,,
17.300,map,-0.523976,1.356473,0,4.121543,,,
17.400,map,-0.536692,1.341934,0,4.140571,,,
17.500,map,-0.545613,1.305693,0,4.153051,,,
17.600,map,-0.556207,1.285806,0,4.168028,,,
17.700,map,-0.563398,1.257396,0,4.196908,,,
17.800,map,-0.577157,1.226749,0,4.203847,,,
17.900,map,-0.582170,1.204851,0,4.228157,,,
18.000,map,-0.588604,1.183526,0,4.242125,,,
18.100,map,-0.599264,1.149509,0,4.268939,,,
18.200,map,-0.606786,1.118556,0,4.291442,,,
18.300,map,-0.613899,1.093345,0,4.312612,,,
18.400,map,-0.618606,1.072181,0,4.337718,,,
18.500,map,-0.624499,1.042749,0,4.361963,,,
18.600,map,-0.631299,1.002908,0,4.377132,,,
18.700,map,-0.636357,0.979945,0,4.407076,,,
18.800,map,-0.636939,0.949973,0,4.434238,,,
18.900,map,-0.640475,0.916802,0,4.460063,,,
19.000,map,-0.641916,0.889960,0,4.494218,,,
19.100,map,-0.641246,0.863271,0,4.519795,,,
19.200,map,-0.643104,0.834258,0,4.548103,,,
19.300,map,-0.640942,0.811118,0,4.572249,,,
19.400,map,-0.636029,0.778699,0,4.603951,,,
19.500,map,-0.635022,0.756289,0,4.632494,,,
19.600,map,-0.633164,0.726285,0,4.665858,,,
19.700,map,-0.625163,0.695024,0,4.698471,,,
19.800,map,-0.615272,0.666362,0,4.736055,,,
19.900,map,-0.605144,0.643703,0,4.773250,,,
20.000,map,-0.595682,0.612800,0,4.805088,,,
20.100,map,-0.584042,0.586074,0,4.842916,,,
20.200,map,-0.571191,0.556125,0,4.878184,,,
20.300,map,-0.555390,0.524913,0,4.918869,,,
20.400,map,-0.538628,0.497113,0,4.958412,,,
20.500,map,-0.522152,0.469051,0,4.993263,,,
20.600,map,-0.503553,0.442281,0,5.036751,,,
20.700,map,-0.480421,0.410175,0,5.078591,,,
20.800,map,-0.455970,0.371922,0,5.114423,,,
20.900,map,-0.440520,0.346882,0,5.150918,,,
21.000,map,-0.422895,0.331383,0,5.192300,,,
21.100,map,-0.396645,0.310216,0,5.228544,,,
21.200,map,-0.380303,0.290252,0,5.264690,,,
21.300,map,-0.364901,0.263698,0,5.298753,,,
21.400,map,-0.342165,0.243173,0,5.335634,,,
21.500,map,-0.323384,0.222802,0,5.373692,,,
21.600,map,-0.298767,0.203863,0,5.415599,,,
21.700,map,-0.274197,0.187168,0,5.447051,,,
21.800,map,-0.246508,0.158400,0,5.481277,,,
21.900,map,-0.213482,0.138758,0,5.514989,,,
22.000,map,-0.184652,0.114404,0,5.552167,,,
22.100,map,-0.163627,0.105714,0,5.599307,,,
22.200,map,-0.127769,0.097583,0,5.634814,,,
22.300,map,-0.103950,0.080623,0,5.669824,,,
22.400,map,-0.069928,0.069287,0,5.711723,,,
22.500,map,-0.037190,0.059064,0,5.750218,,,
22.600,map,-0.007939,0.052156,0,5.787540,,,
22.700,map,0.017391,0.034529,0,5.822826,,,
22.800,map,0.051399,0.031009,0,5.858379,,,
22.900,map,0.084018,0.019898,0,5.892888,,,
23.000,map,0.123966,0.014443,0,5.922544,,,
23.100,map,0.159111,0.005255,0,5.959526,,,
23.200,map,0.197812,0.004274,0,5.998038,,,
23.300,map,0.218711,0.002940,0,6.033358,,,
23.400,map,0.243838,0.004511,0,6.068848,,,
23.500,map,0.271667,0.004998,0,6.107196,,,
23.600,map,0.298953,0.007113,0,6.147919,,,
23.700,map,0.344744,0.009740,0,6.179281,,,
23.800,map,0.386301,0.019983,0,6.217524,,,
23.900,map,0.429947,0.030547,0,6.242573,,,
24.000,map,0.480377,0.066257,0,6.274873,,,
24.100,map,0.511582,0.076433,0,6.311137,,,
24.200,map,0.550232,0.096282,0,6.357107,,,
24.300,map,0.585737,0.113139,0,6.392679,,,
24.400,map,0.617518,0.127617,0,6.432785,,,
24.500,map,0.649182,0.143232,0,6.475018,,,
24.600,map,0.686418,0.165508,0,6.511486,,,
24.700,map,0.713382,0.183421,0,6.554140,,,
24.800,map,0.745539,0.198728,0,6.595855,,,
24.900,map,0.764592,0.214456,0,6.640656,,,
25.000,map,0.790550,0.233538,0,6.682633,,,
25.100,map,0.813768,0.248925,0,6.727082,,,
25.200,map,0.841768,0.265738,0,6.771507,,,
25.300,map,0.866186,0.274391,0,6.815788,,,
25.400,map,0.885441,0.295468,0,6.852525,,,
25.500,map,0.904818,0.316448,0,6.890912,,,
25.600,map,0.921502,0.333291,0,6.933181,,,
25.700,map,0.942849,0.353448,0,6.977965,,,
25.800,map,0.957414,0.371419,0,7.017128,,,
25.900,map,0.974960,0.389652,0,7.051091,,,
26.000,map,0.987092,0.403124,0,7.084853,,,
26.100,map,0.998118,0.426457,0,7.126579,,,
26.200,map,1.018684,0.454104,0,7.163314,,,
26.300,map,1.029338,0.476016,0,7.191150,,,
26.400,map,1.044278,0.493905,0,7.211089,,,
26.500,map,1.060891,0.515302,0,7.222995,,,
26.600,map,1.071523,0.540211,0,7.227082,,,
26.700,map,1.082218,0.568286,0,7.231537,,,
26.800,map,1.085344,0.598176,0,7.237494,,,
26.900,map,1.095008,0.623462,0,7.243624,,,
27.000,map,1.105209,0.644968,0,7.247738,,,
27.100,map,1.114941,0.665384,0,7.255661,,,
27.200,map,1.125954,0.699271,0,7.257634,,,
27.300,map,1.140137,0.735002,0,7.261793,,,
27.400,map,1.152344,0.759321,0,7.263532,,,
27.500,map,1.166525,0.778744,0,7.263342,,,
27.600,map,1.182563,0.802829,0,7.269792,,,
27.700,map,1.197007,0.830418,0,7.270430,,,
27.800,map,1.214965,0.854336,0,7.285563,,,
27.900,map,1.224442,0.879392,0,7.296927,,,
28.000,map,1.223013,0.899766,0,7.300920,,,
28.100,map,1.233433,0.911701,0,7.309690,,,
28.200,map,1.240358,0.912532,0,7.312990,,,
28.300,map,1.240722,0.909641,0,7.312861,,,
28.400,map,1.242704,0.909177,0,7.313881,,,
28.500,map,1.238573,0.913461,0,7.313213,,,
28.600,map,1.237899,0.909211,0,7.314593,,,
28.700,map,1.240956,0.910139,0,7.312016,,,
28.800,map,1.240787,0.910302,0,7.312917,,,
28.900,map,1.241635,0.906534,0,7.312557,,,
29.000,map,1.246833,0.907679,0,7.312169,,,
29.100,map,1.246391,0.910192,0,7.311365,,,
29.200,map,1.250100,0.908241,0,7.312748,,,
29.300,map,1.248438,0.906730,0,7.310934,,,
29.400,map,1.244600,0.910254,0,7.310142,,,
29.500,map,1.242833,0.908357,0,7.312430,,,
29.600,map,1.238255,0.909270,0,7.314102,,,
29.700,map,1.239513,0.907018,0,7.313059,,,
29.800,map,1.241886,0.908856,0,7.313114,,,
29.900,map,1.242595,0.906292,0,7.310747,,,
30.000,map,1.240076,0.908305,0,7.309982,,,
30.100,map,1.239649,0.908079,0,7.309940,,,
30.200,map,1.241057,0.904483,0,7.311938,,,
30.300,map,1.237579,0.906068,0,7.313495,,,
30.400,map,1.241210,0.909647,0,7.312885,,,
30.500,map,1.243379,0.912484,0,7.315720,,,
30.600,map,1.239579,0.908941,0,7.312811,,,
30.700,map,1.238088,0.904390,0,7.314570,,,
30.800,map,1.237230,0.900136,0,7.314115,,,
30.900,map,1.237494,0.896784,0,7.314236,,,
31.000,map,1.238831,0.894147,0,7.310805,,,
31.100,map,1.242126,0.893708,0,7.312162,,,
31.200,map,1.239926,0.893765,0,7.310832,,,
31.300,map,1.243250,0.892896,0,7.310947,,,
