x_m,y_m
0.8060,0.5738
0.8258,0.5952
0.8439,0.6181
0.8602,0.6425
0.8746,0.6685
0.8869,0.6961
0.8982,0.7242
0.9084,0.7526
0.9175,0.7814
0.9254,0.8106
0.9322,0.8400
0.9379,0.8697
0.9424,0.8996
0.9458,0.9296
0.9480,0.9598
0.9490,0.9900
0.9488,1.0202
0.9475,1.0504
0.9450,1.0805
0.9413,1.1105
0.9364,1.1403
0.9305,1.1700
0.9233,1.1993
0.9150,1.2284
0.9056,1.2571
0.8951,1.2855
0.8835,1.3134
0.8708,1.3408
0.8571,1.3677
0.8423,1.3941
0.8265,1.4198
0.8097,1.4450
0.7920,1.4694
0.7733,1.4932
0.7537,1.5162
0.7332,1.5384
0.7119,1.5598
0.6897,1.5804
0.6668,1.6000
0.6431,1.6188
0.6187,1.6367
0.5937,1.6535
0.5680,1.6694
0.5417,1.6843
0.5148,1.6982
0.4874,1.7109
0.4596,1.7227
0.4313,1.7333
0.4026,1.7428
0.3735,1.7512
0.3442,1.7584
0.3146,1.7645
0.2848,1.7695
0.2548,1.7733
0.2247,1.7759
0.1945,1.7773
0.1643,1.7776
0.1341,1.7767
0.1039,1.7747
0.0738,1.7715
0.0439,1.7674
0.0140,1.7622
-0.0157,1.7562
-0.0452,1.7495
-0.0746,1.7421
-0.1039,1.7341
-0.1331,1.7257
-0.1621,1.7168
-0.1911,1.7077
-0.2200,1.6983
-0.2488,1.6886
-0.2775,1.6787
-0.3061,1.6686
-0.3347,1.6583
-0.3632,1.6478
-0.3916,1.6371
-0.4199,1.6261
-0.4482,1.6150
-0.4764,1.6037
-0.5045,1.5922
-0.5325,1.5804
-0.5604,1.5685
-0.5883,1.5564
-0.6160,1.5440
-0.6436,1.5313
-0.6710,1.5183
-0.6982,1.5048
-0.7251,1.4908
-0.7517,1.4762
-0.7778,1.4609
-0.8034,1.4448
-0.8285,1.4278
-0.8528,1.4100
-0.8766,1.3912
-0.8995,1.3716
-0.9217,1.3511
-0.9431,1.3297
-0.9636,1.3075
-0.9832,1.2846
-1.0020,1.2608
-1.0198,1.2364
-1.0366,1.2113
-1.0525,1.1856
-1.0673,1.1593
-1.0811,1.1324
-1.0938,1.1050
-1.1055,1.0771
-1.1161,1.0488
-1.1255,1.0201
-1.1338,0.9910
-1.1411,0.9617
-1.1471,0.9321
-1.1520,0.9022
-1.1557,0.8722
-1.1583,0.8421
-1.1597,0.8119
-1.1599,0.7817
-1.1590,0.7515
-1.1569,0.7214
-1.1536,0.6913
-1.1491,0.6614
-1.1435,0.6317
-1.1367,0.6023
-1.1288,0.5731
-1.1198,0.5443
-1.1096,0.5158
-1.0983,0.4878
-1.0860,0.4602
-1.0726,0.4331
-1.0581,0.4066
-1.0426,0.3806
-1.0262,0.3553
-1.0087,0.3306
-0.9903,0.3067
-0.9710,0.2834
-0.9508,0.2609
-0.9297,0.2393
-0.9078,0.2184
-0.8851,0.1985
-0.8617,0.1794
-0.8375,0.1612
-0.8127,0.1441
-0.7872,0.1278
-0.7611,0.1126
-0.7344,0.0985
-0.7071,0.0853
-0.6794,0.0733
-0.6513,0.0623
-0.6227,0.0524
-0.5938,0.0437
-0.5646,0.0360
-0.5350,0.0296
-0.5053,0.0242
-0.4754,0.0201
-0.4453,0.0171
-0.4151,0.0153
-0.3849,0.0146
-0.3547,0.0151
-0.3245,0.0169
-0.2944,0.0197
-0.2645,0.0238
-0.2347,0.0290
-0.2052,0.0353
-0.1758,0.0427
-0.1468,0.0511
-0.1179,0.0603
-0.0893,0.0703
-0.0610,0.0812
-0.0331,0.0929
-0.0054,0.1052
0.0220,0.1182
0.0492,0.1316
0.0762,0.1454
0.1031,0.1595
0.1297,0.1741
0.1562,0.1889
0.1827,0.2038
0.2092,0.2187
0.2357,0.2336
0.2622,0.2485
0.2886,0.2634
0.3151,0.2783
0.3416,0.2932
0.3681,0.3081
0.3945,0.3230
0.4210,0.3379
0.4475,0.3528
0.4740,0.3677
0.5004,0.3826
0.5269,0.3975
0.5534,0.4123
0.5799,0.4272
0.6064,0.4421
0.6328,0.4570
0.6593,0.4719
0.6858,0.4868
0.7123,0.5017
0.7376,0.5178
0.7618,0.5351
0.7846,0.5538
