# x_m,y_m,w_tr_right_m,w_tr_left_m
0.4050,0.0803,0.4577,0.4577
0.4433,0.0774,0.4562,0.4562
0.4813,0.0753,0.4482,0.4482
0.5197,0.0762,0.4410,0.4410
0.5545,0.0949,0.4376,0.4376
0.5861,0.1302,0.4381,0.4381
0.6106,0.1715,0.4467,0.4467
0.6257,0.2172,0.5085,0.5085
0.6313,0.2674,0.5719,0.5719
0.6277,0.3218,0.6385,0.6385
0.6152,0.3797,0.7063,0.7063
0.6022,0.4376,0.7773,0.7773
0.5885,0.4952,0.8503,0.8503
0.5734,0.5524,0.9277,0.9277
0.5601,0.6064,1.0102,1.0102
0.5570,0.6519,1.0924,1.0924
0.5567,0.6964,1.1729,1.1729
0.5559,0.7406,1.2325,1.2325
0.5572,0.7851,1.2088,1.2088
0.5612,0.8300,1.1040,1.1040
0.5676,0.8754,1.0199,1.0199
0.5713,0.9239,0.9679,0.9679
0.5624,0.9795,0.9453,0.9453
0.5483,1.0352,0.9540,0.9540
0.5305,1.0889,1.0090,1.0090
0.5062,1.1393,1.0664,1.0664
0.4734,1.1836,1.0592,1.0592
0.4334,1.2220,0.9850,0.9850
0.3883,1.2559,0.8219,0.8219
0.3399,1.2863,0.6918,0.6918
0.2877,1.3118,0.6047,0.6047
0.2330,1.3321,0.5501,0.5501
0.1764,1.3468,0.5199,0.5199
0.1196,1.3580,0.4981,0.4981
0.0625,1.3651,0.4836,0.4836
0.0049,1.3667,0.4738,0.4738
-0.0532,1.3624,0.4670,0.4670
-0.1113,1.3533,0.4620,0.4620
-0.1690,1.3408,0.4594,0.4594
-0.2262,1.3258,0.4582,0.4582
-0.2825,1.3081,0.4578,0.4578
-0.3372,1.2870,0.4581,0.4581
-0.3914,1.2644,0.4598,0.4598
-0.4453,1.2411,0.4694,0.4694
-0.4993,1.2180,0.4920,0.4920
-0.5536,1.1963,0.5088,0.5088
-0.6084,1.1772,0.5293,0.5293
-0.6641,1.1622,0.5529,0.5529
-0.7215,1.1510,0.5772,0.5772
-0.7795,1.1418,0.5963,0.5963
-0.8378,1.1336,0.6084,0.6084
-0.8961,1.1251,0.6334,0.6334
-0.9539,1.1150,0.6607,0.6607
-1.0107,1.1012,0.6895,0.6895
-1.0661,1.0822,0.7207,0.7207
-1.1193,1.0587,0.7507,0.7507
-1.1694,1.0301,0.7780,0.7780
-1.2155,0.9961,0.8010,0.8010
-1.2562,0.9566,0.8202,0.8202
-1.2905,0.9117,0.8337,0.8337
-1.3174,0.8623,0.8416,0.8416
-1.3367,0.8094,0.8434,0.8434
-1.3482,0.7538,0.8391,0.8391
-1.3519,0.6969,0.8294,0.8294
-1.3484,0.6394,0.8167,0.8167
-1.3381,0.5825,0.8012,0.8012
-1.3217,0.5268,0.7813,0.7813
-1.2998,0.4730,0.7612,0.7612
-1.2724,0.4218,0.7382,0.7382
-1.2398,0.3739,0.7148,0.7148
-1.2028,0.3293,0.6896,0.6896
-1.1617,0.2881,0.6620,0.6620
-1.1171,0.2503,0.6349,0.6349
-1.0696,0.2158,0.6134,0.6134
-1.0197,0.1846,0.5967,0.5967
-0.9679,0.1565,0.5827,0.5827
-0.9147,0.1309,0.5716,0.5716
-0.8604,0.1081,0.5613,0.5613
-0.8049,0.0880,0.5530,0.5530
-0.7486,0.0703,0.5469,0.5469
-0.6915,0.0552,0.5381,0.5381
-0.6338,0.0424,0.5273,0.5273
-0.5757,0.0318,0.5166,0.5166
-0.5172,0.0233,0.5054,0.5054
-0.4584,0.0164,0.4953,0.4953
-0.3995,0.0106,0.4846,0.4846
-0.3404,0.0062,0.4754,0.4754
-0.2813,0.0033,0.4695,0.4695
-0.2221,0.0021,0.4671,0.4671
-0.1630,0.0028,0.4645,0.4645
-0.1042,0.0057,0.4643,0.4643
-0.0456,0.0114,0.4638,0.4638
0.0125,0.0206,0.4654,0.4654
0.0701,0.0330,0.4664,0.4664
0.1269,0.0484,0.4674,0.4674
0.1832,0.0663,0.4673,0.4673
0.2378,0.0847,0.4666,0.4666
0.2859,0.0916,0.4647,0.4647
0.3274,0.0879,0.4623,0.4623
0.3664,0.0838,0.4589,0.4589
