time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
1780789718.933975,odom,-0.021114,-0.009029,0.000000,-0.000005,0.482000,0.560236,1780789718.819136
1780789719.033937,odom,-0.021373,-0.009140,0.000000,-0.000000,0.518047,0.564066,1780789718.918980
1780789719.133859,odom,-0.021065,-0.009009,0.000000,-0.000004,0.521004,0.653829,1780789719.020072
1780789719.233796,odom,-0.021359,-0.009135,0.000000,-0.000000,0.523077,0.534183,1780789719.118809
1780789719.334059,odom,-0.021105,-0.009025,0.000000,-0.000007,0.526077,0.554704,1780789719.219007
1780789719.433817,odom,-0.021376,-0.009139,0.000000,-0.000000,0.518117,0.648035,1780789719.319072
1780789719.533887,odom,-0.021061,-0.009002,0.000000,-0.000005,0.505080,0.617234,1780789719.419026
1780789719.633794,odom,-0.021340,-0.009121,0.000000,-0.000000,0.521015,0.550616,1780789719.518998
1780789719.734347,odom,-0.021046,-0.008996,0.000000,-0.000007,0.532004,0.635517,1780789719.619105
1780789719.833850,odom,-0.021335,-0.009120,0.000000,-0.000000,0.531034,0.577062,1780789719.719016
1780789719.933809,odom,-0.021076,-0.009011,0.000000,-0.000006,0.535897,0.561288,1780789719.819293
1780789720.033823,odom,-0.021348,-0.009129,0.000000,-0.000000,0.526000,0.595232,1780789719.919300
1780789720.133966,odom,-0.021055,-0.008977,0.000000,-0.000002,0.518004,0.562921,1780789720.019059
1780789720.233825,odom,-0.021356,-0.009061,0.000000,-0.000000,0.505000,0.529185,1780789720.119161
1780789720.334035,odom,-0.021097,-0.008910,0.000000,-0.000008,0.505000,0.529185,1780789720.119161
1780789720.433823,odom,-0.021392,-0.009025,0.000000,-0.000000,0.505000,0.529185,1780789720.119161
1780789720.534085,odom,-0.021110,-0.008924,0.000000,-0.000018,0.517000,0.534813,1780789720.419017
1780789720.633909,odom,-0.021372,-0.009065,0.000000,-0.000000,0.469426,0.590827,1780789720.519118
1780789720.734061,odom,-0.021074,-0.009001,0.000000,-0.000007,0.494016,0.565697,1780789720.619043
1780789720.833796,odom,-0.021326,-0.009125,0.000000,-0.000000,0.528242,0.666796,1780789720.719016
1780789720.933972,odom,-0.021018,-0.009017,0.000000,-0.000003,0.529114,0.620697,1780789720.819101
1780789721.033803,odom,-0.021335,-0.009157,0.000000,-0.000000,0.526380,0.558920,1780789720.919239
1780789721.133809,odom,-0.021004,-0.009019,0.000000,-0.000006,0.501001,0.656510,1780789721.019022
1780789721.233823,odom,-0.021288,-0.009141,0.000000,-0.000000,0.516706,0.563760,1780789721.119098
1780789721.333817,odom,-0.020977,-0.009007,0.000000,-0.000009,0.502036,0.567849,1780789721.219050
1780789721.433744,odom,-0.021247,-0.009123,0.000000,-0.000000,0.484000,0.637737,1780789721.319023
1780789721.534041,odom,-0.020971,-0.009006,0.000000,-0.000006,0.523803,0.594246,1780789721.419133
