x,y,left_wall_m,right_wall_m
0.343216,0.155115,0.388012,0.833245
0.356289,0.162703,0.402005,0.828015
0.361987,0.164904,0.4,0.815208
0.377181,0.174656,0.438713,0.819022
0.386101,0.178956,0.438114,0.808941
0.407151,0.192398,0.41335,0.810941
0.418126,0.198084,0.36,0.799053
0.442388,0.214176,0.370001,0.804006
0.45454,0.221195,0.394062,0.806236
0.480548,0.23949,0.356275,0.80239
0.493276,0.247622,0.345245,0.815751
0.519855,0.267722,0.312578,0.817785
0.532749,0.276994,0.319039,0.825516
0.559536,0.299033,0.315129,0.836031
0.572671,0.309542,0.303,0.842072
0.600851,0.334101,0.378382,0.84257
0.614642,0.346175,0.410698,0.857324
0.643104,0.372634,0.431297,0.858394
0.656908,0.385472,0.472217,0.877796
0.684905,0.412032,0.454641,0.888642
0.698512,0.425206,0.533085,0.906363
0.725778,0.451869,1.90136,0.908635
0.73897,0.46546,1.892966,0.93609
0.763985,0.492339,1.867189,0.960255
0.77599,0.506151,1.853313,0.966173
0.798025,0.533287,1.83107,0.997345
0.808807,0.54785,1.804402,1.015833
0.826515,0.573755,1.786873,1.049031
0.834709,0.586587,1.763386,1.079787
0.845959,0.605637,1.738768,1.10763
0.850766,0.614516,1.736597,1.115133
0.856516,0.626204,1.723621,1.10553
0.860048,0.633437,1.685745,1.123307
0.863242,0.640292,1.658387,1.07741
0.865442,0.64518,1.68783,1.053651
0.868478,0.651557,1.635482,1.083503
0.871738,0.658295,1.616154,0.996488
0.877674,0.670347,1.650259,1.062565
0.881868,0.679219,1.581796,1.021511
0.889425,0.695099,1.62026,0.931099
0.893272,0.70391,1.618019,0.949699
0.896983,0.713166,1.613231,0.892202
0.898967,0.718878,1.598015,0.909752
0.900904,0.725098,1.586707,0.894438
0.902534,0.730123,1.590751,0.874839
0.904528,0.736634,1.582315,0.88762
0.906339,0.742446,1.577454,0.874751
0.908626,0.750356,1.577906,0.83182
0.910499,0.757392,1.55589,0.831416
0.914504,0.771999,1.548063,0.815206
0.917131,0.782403,1.550039,0.805566
0.922899,0.803954,1.543334,0.775562
0.92594,0.816806,1.535743,0.803374
0.93218,0.842682,1.495531,0.775763
0.935041,0.857008,1.516874,0.732694
0.940643,0.886027,1.526822,0.745552
0.943013,0.901849,1.510689,0.744503
0.947283,0.933876,1.460604,0.714927
0.948864,0.950835,1.500868,0.761972
0.951444,0.984865,1.509387,0.708511
0.952264,1.002534,1.521005,0.703489
0.952735,1.037521,1.525898,0.759395
0.952372,1.055688,1.514714,0.729572
0.950329,1.091972,1.513844,0.710518
0.9488,1.110905,1.554082,0.757398
0.943923,1.149064,1.563943,0.759327
0.918108,1.265305,1.67258,0.823294
0.911827,1.285696,1.716445,0.847342
0.896501,1.324639,1.738368,0.868514
0.888468,1.34443,1.789753,0.906074
0.870088,1.381223,1.869815,0.925566
0.860273,1.400531,1.998606,0.973016
0.837992,1.436672,2.093456,1.015166
0.826119,1.455643,2.045278,0.784889
0.800932,1.489652,2.140367,0.786685
0.787648,1.507537,1.723774,0.821891
0.760016,1.539068,1.670356,0.791596
0.745436,1.555839,1.614497,0.736639
0.715887,1.584374,1.562714,0.698548
0.700422,1.599306,1.531515,0.646693
0.670014,1.624211,1.464667,0.575585
0.653817,1.637674,1.453674,0.55771
0.62233,1.659586,1.4099,0.493763
0.605273,1.671689,1.38346,0.491048
0.571745,1.691389,1.37009,0.45482
0.553637,1.702108,1.333416,0.394463
0.518902,1.718806,1.314229,0.381093
0.500343,1.727835,1.299972,0.314859
0.464671,1.741325,1.273934,0.300987
0.44483,1.748775,1.248741,0.301086
0.406982,1.759414,1.238499,0.300533
0.386704,1.764961,1.223014,0.301869
0.349192,1.772217,1.215629,0.300222
0.328485,1.776085,1.203979,0.300554
0.289401,1.78087,1.175953,0.300088
0.267826,1.78329,1.170361,0.300083
0.22832,1.785605,1.141341,0.300048
0.206919,1.786622,1.132053,0.300102
0.167362,1.786637,1.129459,0.300017
0.145264,1.786219,1.119451,0.300043
0.104165,1.783622,1.103775,0.300042
0.081801,1.781796,1.099078,0.300048
0.040893,1.776559,1.082045,0.300042
0.018447,1.773127,1.07228,0.300042
-0.022552,1.764611,1.058038,0.300015
-0.044933,1.759507,1.041148,0.300268
-0.085398,1.747684,1.034069,0.300042
-0.107308,1.740869,1.026529,0.300107
-0.146423,1.726662,1.019804,0.300528
-0.167486,1.718714,1.013769,0.300028
-0.20538,1.703275,1.008259,0.300832
-0.225747,1.694648,1.007697,0.302154
-0.261483,1.6789,1.008071,0.30088
-0.280717,1.669948,1.006921,0.300945
-0.315501,1.654166,1.00106,0.300426
-0.334417,1.644886,1.002128,0.304923
-0.368171,1.629357,0.997108,0.303318
-0.38618,1.620115,0.998013,0.300288
-0.41827,1.605254,0.994314,0.302662
-0.435788,1.595853,0.990007,0.307584
-0.467992,1.580758,0.98437,0.306544
-0.485268,1.571125,0.982269,0.312155
-0.516825,1.556358,0.984008,0.300847
-0.533594,1.546894,0.977051,0.300734
-0.564983,1.532844,0.983376,0.30647
-0.581866,1.523522,0.978726,0.303923
-0.61355,1.509788,0.979617,0.311878
-0.630091,1.500648,0.984988,0.319127
-0.66129,1.487308,0.98792,0.304238
-0.677796,1.478183,0.986932,0.302988
-0.71872,1.473202,0.992549,0.335037
-0.735967,1.464518,1.014943,0.317593
-0.767676,1.450362,1.088479,0.325085
-0.784435,1.4413,1.200277,0.329152
-0.815011,1.425949,1.969747,0.324822
-0.831225,1.41635,1.999045,0.327515
-0.860603,1.39932,1.143525,0.380438
-0.876442,1.388719,1.111027,0.39899
-0.905,1.369127,1.171893,0.41135
-0.920298,1.35748,1.102844,0.442634
-0.947668,1.335016,1.067896,0.444703
-0.962383,1.321887,1.045163,0.499938
