x_m,y_m
0.4693,2.1844
0.4465,2.2075
0.4227,2.2296
0.3980,2.2509
0.3724,2.2712
0.3457,2.2901
0.3182,2.3079
0.2900,2.3245
0.2613,2.3403
0.2321,2.3550
0.2025,2.3685
0.1722,2.3807
0.1414,2.3915
0.1100,2.4006
0.0783,2.4084
0.0462,2.4147
0.0139,2.4198
-0.0186,2.4234
-0.0512,2.4257
-0.0839,2.4266
-0.1166,2.4262
-0.1492,2.4244
-0.1818,2.4213
-0.2142,2.4168
-0.2464,2.4111
-0.2783,2.4041
-0.3099,2.3958
-0.3412,2.3862
-0.3721,2.3753
-0.4024,2.3632
-0.4323,2.3499
-0.4617,2.3355
-0.4905,2.3199
-0.5185,2.3031
-0.5460,2.2853
-0.5727,2.2665
-0.5986,2.2465
-0.6236,2.2255
-0.6479,2.2036
-0.6707,2.1804
-0.6921,2.1559
-0.7123,2.1305
-0.7313,2.1042
-0.7492,2.0770
-0.7661,2.0490
-0.7819,2.0204
-0.7966,1.9911
-0.8101,1.9612
-0.8230,1.9310
-0.8350,1.9005
-0.8461,1.8698
-0.8561,1.8386
-0.8647,1.8071
-0.8721,1.7753
-0.8779,1.7431
-0.8824,1.7108
-0.8855,1.6782
-0.8870,1.6456
-0.8871,1.6130
-0.8857,1.5803
-0.8829,1.5478
-0.8787,1.5154
-0.8729,1.4832
-0.8660,1.4513
-0.8578,1.4196
-0.8483,1.3883
-0.8378,1.3572
-0.8264,1.3265
-0.8141,1.2961
-0.8011,1.2659
-0.7874,1.2360
-0.7732,1.2064
-0.7586,1.1769
-0.7436,1.1477
-0.7282,1.1186
-0.7126,1.0896
-0.6968,1.0608
-0.6806,1.0321
-0.6643,1.0036
-0.6477,0.9752
-0.6309,0.9469
-0.6138,0.9188
-0.5964,0.8909
-0.5787,0.8632
-0.5606,0.8357
-0.5423,0.8084
-0.5238,0.7812
-0.5051,0.7541
-0.4862,0.7273
-0.4669,0.7006
-0.4474,0.6741
-0.4276,0.6478
-0.4077,0.6217
-0.3877,0.5955
-0.3678,0.5694
-0.3478,0.5433
-0.3275,0.5174
-0.3068,0.4919
-0.2858,0.4668
-0.2642,0.4421
-0.2422,0.4179
-0.2195,0.3944
-0.1960,0.3718
-0.1714,0.3503
-0.1457,0.3301
-0.1193,0.3109
-0.0920,0.2928
-0.0640,0.2761
-0.0353,0.2606
-0.0058,0.2464
0.0242,0.2338
0.0548,0.2223
0.0859,0.2126
0.1174,0.2041
0.1493,0.1971
0.1816,0.1917
0.2140,0.1876
0.2465,0.1850
0.2792,0.1837
0.3119,0.1837
0.3446,0.1852
0.3772,0.1880
0.4096,0.1920
0.4419,0.1976
0.4738,0.2043
0.5055,0.2124
0.5368,0.2219
0.5677,0.2326
0.5980,0.2447
0.6279,0.2580
0.6573,0.2724
0.6860,0.2881
0.7142,0.3047
0.7417,0.3225
0.7686,0.3412
0.7948,0.3608
0.8203,0.3814
0.8452,0.4028
0.8692,0.4250
0.8926,0.4481
0.9150,0.4719
0.9366,0.4965
0.9573,0.5219
0.9770,0.5481
0.9957,0.5749
1.0134,0.6024
1.0300,0.6306
1.0455,0.6595
1.0599,0.6889
1.0730,0.7188
1.0850,0.7493
1.0957,0.7802
1.1051,0.8115
1.1133,0.8432
1.1201,0.8752
1.1255,0.9074
1.1295,0.9398
1.1321,0.9724
1.1333,1.0051
1.1331,1.0378
1.1315,1.0704
1.1286,1.1030
1.1242,1.1354
1.1185,1.1676
1.1114,1.1995
1.1030,1.2311
1.0933,1.2623
1.0820,1.2929
1.0691,1.3228
1.0550,1.3522
1.0397,1.3810
1.0233,1.4093
1.0061,1.4372
0.9882,1.4647
0.9696,1.4918
0.9506,1.5187
0.9316,1.5455
0.9126,1.5724
0.8937,1.5993
0.8747,1.6262
0.8557,1.6530
0.8367,1.6799
0.8177,1.7068
0.7987,1.7336
0.7797,1.7605
0.7607,1.7874
0.7417,1.8143
0.7227,1.8411
0.7038,1.8680
0.6848,1.8949
0.6658,1.9217
0.6468,1.9486
0.6278,1.9755
0.6088,2.0024
0.5898,2.0292
0.5708,2.0561
0.5518,2.0830
0.5323,2.1094
0.5122,2.1353
0.4912,2.1603
