# 388b3e7d-323d-4980-b451-737657284369
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.6969565; 0.8556487; -0.0396235; 1.3616675; 1.5655459; -0.0069987
0.0994663; 0.6964847; 0.9551282; -0.0422254; -4.8988758; 1.5651011; -0.0069987
0.1989327; 0.7116063; 1.0478022; -0.1483124; 2.1433538; 1.5646563; 5.2930053
0.2983990; 0.7140573; 1.1486857; 0.0993164; 2.1763328; 1.8711229; 4.3704360
0.3978653; 0.6945803; 1.2464832; 0.2863782; 1.7035364; 2.0905797; 4.5421672
0.4973317; 0.6588034; 1.3392739; 0.4456466; 1.4893360; 2.2965428; 4.1300108
0.5967980; 0.6084593; 1.4272531; 0.5932490; 1.4515677; 2.4689477; 3.1342582
0.6962643; 0.5470977; 1.5054266; 0.7371556; 1.4324865; 2.5921437; 2.3556257
0.7957306; 0.4747082; 1.5744352; 0.8823093; 1.4832054; 2.6810110; 1.3184499
0.8951970; 0.3932664; 1.6317661; 1.0328263; 1.5099203; 2.7294877; 0.7296526
0.9946633; 0.3042792; 1.6761501; 1.1837971; 1.5311462; 2.7559489; 0.3488539
1.0941296; 0.2096250; 1.7064917; 1.3372825; 1.5203121; 2.7685110; 0.3254365
1.1935960; 0.1116378; 1.7222301; 1.4846796; 1.4528946; 2.7801786; 0.7479227
1.2930623; 0.0119176; 1.7236590; 1.6274392; 1.3912829; 2.8068094; 1.0167147
1.3925286; -0.0866324; 1.7114186; 1.7592875; 1.2702014; 2.8426109; 1.7131303
1.4919950; -0.1831204; 1.6867399; 1.8819519; 1.2006727; 2.9019363; 1.8647929
1.5914613; -0.2767644; 1.6504681; 1.9968330; 1.0913464; 2.9651649; 2.3795402
1.6909276; -0.3646075; 1.6048541; 2.1017700; 1.0387475; 3.0439400; 2.3489386
1.7903939; -0.4493622; 1.5489506; 2.2049546; 0.9847066; 3.1197519; 2.3881882
1.8898603; -0.5258745; 1.4868060; 2.3006443; 0.9680308; 3.1949867; -0.1224659
1.9893266; -0.5984304; 1.4151072; 2.3994829; 0.9512506; 3.1911719; -2.1619274
2.0887929; -0.6600591; 1.3415018; 2.4889660; 0.9136918; 3.1230594; -2.1929214
2.1882593; -0.7187086; 1.2575017; 2.5684155; 0.5085551; 3.0524181; -6.8217412
2.2877256; -0.7698389; 1.1764342; 2.5802856; -0.0707780; 2.8213807; -6.7360836
2.3871919; -0.8210690; 1.0955183; 2.5875477; 0.7979912; 2.5729675; -1.2863246
2.4866583; -0.8688741; 1.0059404; 2.7307669; 1.6862671; 2.5227505; -1.1777016
2.5861246; -0.9006227; 0.9129970; 2.8946806; 1.7154121; 2.4758810; -1.2802550
2.6855909; -0.9163678; 0.8133779; 3.0767564; 1.8274008; 2.4239023; -0.6149099
2.7850573; -0.9135503; 0.7135710; -3.0177180; 1.9818484; 2.3985363; -0.4870762
2.8845236; -0.8912829; 0.6160416; -2.8173066; 1.9809430; 2.3782517; -0.0161511
2.9839899; -0.8505966; 0.5258763; -2.6155566; 2.1228162; 2.3775761; -0.0161511
3.0834562; -0.7912672; 0.4441381; -2.4168611; 1.8316919; 2.3769003; 1.6354303
3.1829226; -0.7191793; 0.3759513; -2.2435145; 1.5659694; 2.4443804; 2.6262683
3.2823889; -0.6383039; 0.3196792; -2.1282277; 0.6910202; 2.5490089; 5.2814359
3.3818552; -0.5553948; 0.2710348; -2.0763078; 0.4680964; 2.7473799; 5.2784340
3.4813216; -0.4694936; 0.2256220; -2.0360100; 0.6425376; 2.9322601; 5.2754339
3.5807879; -0.3793348; 0.1849439; -1.9461262; 1.0844277; 3.1060595; -0.7949477
3.6802542; -0.2834842; 0.1533314; -1.8328337; 1.0877106; 3.0804974; -1.6093968
3.7797206; -0.1867750; 0.1328370; -1.7263909; 1.0875763; 3.0280856; -1.5501048
3.8791869; -0.0837100; 0.1227357; -1.6087334; 1.1821789; 2.9767325; -1.5376609
3.9786532; 0.0148473; 0.1247728; -1.4909067; 1.2196008; 2.9249009; -0.9104446
4.0781196; 0.1138132; 0.1389642; -1.3640368; 1.3271527; 2.8937740; -0.4751712
4.1775859; 0.2100711; 0.1661585; -1.2257130; 1.3948454; 2.8773948; -0.4646051
4.2770522; 0.3012029; 0.2062650; -1.0865032; 1.4071899; 2.8612892; -0.0233781
4.3765185; 0.3855094; 0.2585279; -0.9442361; 1.4665758; 2.8604764; -0.0233781
4.4759849; 0.4621439; 0.3230255; -0.7997544; 1.3903927; 2.8596634; 0.6064565
4.5754512; 0.5286693; 0.3970923; -0.6649437; 1.3257399; 2.8806802; 0.9748783
4.6749175; 0.5848303; 0.4793297; -0.5337153; 1.2871662; 2.9141472; 1.0447949
4.7743839; 0.6313895; 0.5710589; -0.4073591; 1.1889678; 2.9495928; 1.6310065
4.8738502; 0.6644250; 0.6616063; -0.2913641; 1.2506692; 3.0040902; 0.6874788
4.9733165; 0.6881827; 0.7664068; -0.1549324; 1.2558369; 3.0267672; -33.7319476
5.0727829; 0.6969565; 0.8556487; -0.0396235; 1.3616675; 1.5655459; -0.0069987
