# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000; 0.000000; 0.000000; -1.552129; 1.361668; 1.565546; -0.006999
0.099466; 0.099283; 0.006266; -1.554731; -4.898876; 1.565101; -0.006999
0.198933; 0.192681; -0.003430; -1.660818; 2.143354; 1.564656; 5.293005
0.298399; 0.293536; -0.000000; -1.413189; 2.176333; 1.871123; 4.370436
0.397865; 0.390032; 0.025141; -1.226127; 1.703536; 2.090580; 4.542167
0.497332; 0.480581; 0.066263; -1.066859; 1.489336; 2.296543; 4.130011
0.596798; 0.565478; 0.121647; -0.919256; 1.451568; 2.468948; 3.134258
0.696264; 0.639944; 0.187459; -0.775350; 1.432486; 2.592144; 2.355626
0.795731; 0.704618; 0.263746; -0.630196; 1.483205; 2.681011; 1.318450
0.895197; 0.757107; 0.348389; -0.479679; 1.509920; 2.729488; 0.729653
0.994663; 0.796231; 0.439811; -0.328708; 1.531146; 2.755949; 0.348854
1.094130; 0.821007; 0.536072; -0.175223; 1.520312; 2.768511; 0.325437
1.193596; 0.831010; 0.634810; -0.027826; 1.452895; 2.780179; 0.747923
1.293062; 0.826627; 0.734444; 0.114934; 1.391283; 2.806809; 1.016715
1.392529; 0.808666; 0.832113; 0.246782; 1.270201; 2.842611; 1.713130
1.491995; 0.778408; 0.927000; 0.369447; 1.200673; 2.901936; 1.864793
1.591461; 0.736742; 1.018372; 0.484328; 1.091346; 2.965165; 2.379540
1.690928; 0.686088; 1.103408; 0.589265; 1.038747; 3.043940; 2.348939
1.790394; 0.625342; 1.184762; 0.692449; 0.984707; 3.119752; 2.388188
1.889860; 0.558846; 1.257524; 0.788139; 0.968031; 3.194987; -0.122466
1.989327; 0.483042; 1.325780; 0.886978; 0.951251; 3.191172; -2.161927
2.088793; 0.405971; 1.383016; 0.976461; 0.913692; 3.123059; -2.192921
2.188259; 0.318697; 1.436672; 1.055910; 0.508555; 3.052418; -6.821741
2.287726; 0.234788; 1.482992; 1.067780; -0.070778; 2.821381; -6.736084
2.387192; 0.151025; 1.529422; 1.075042; 0.797991; 2.572967; -1.286325
2.486658; 0.058814; 1.571927; 1.218262; 1.686267; 2.522750; -1.177702
2.586125; -0.035821; 1.598207; 1.382175; 1.715412; 2.475881; -1.280255
2.685591; -0.136188; 1.608122; 1.564251; 1.827401; 2.423902; -0.614910
2.785057; -0.235661; 1.599494; 1.752962; 1.981848; 2.398536; -0.487076
2.884524; -0.331728; 1.571583; 1.953373; 1.980943; 2.378252; -0.016151
2.983990; -0.419370; 1.525713; 2.155123; 2.122816; 2.377576; -0.016151
3.083456; -0.497513; 1.461722; 2.353819; 1.831692; 2.376900; 1.635430
3.182923; -0.561384; 1.385784; 2.527166; 1.565969; 2.444380; 2.626268
3.282389; -0.612849; 1.301768; 2.642452; 0.691020; 2.549009; 5.281436
3.381855; -0.656580; 1.216166; 2.694372; 0.468096; 2.747380; 5.278434
3.481322; -0.696912; 1.127765; 2.734670; 0.642538; 2.932260; 5.275434
3.580788; -0.732268; 1.035389; 2.824554; 1.084428; 3.106060; -0.794948
3.680254; -0.758243; 0.937860; 2.937846; 1.087711; 3.080497; -1.609397
3.779721; -0.773068; 0.840121; 3.044289; 1.087576; 3.028086; -1.550105
3.879187; -0.777148; 0.736643; -3.121239; 1.182179; 2.976732; -1.537661
3.978653; -0.769373; 0.638371; -3.003412; 1.219601; 2.924901; -0.910445
4.078120; -0.749440; 0.540400; -2.876542; 1.327153; 2.893774; -0.475171
4.177586; -0.716684; 0.445890; -2.738218; 1.394845; 2.877395; -0.464605
4.277052; -0.671337; 0.357250; -2.599009; 1.407190; 2.861289; -0.023378
4.376519; -0.614251; 0.276131; -2.456741; 1.466576; 2.860476; -0.023378
4.475985; -0.545398; 0.203384; -2.312260; 1.390393; 2.859663; 0.606456
4.575451; -0.467582; 0.141287; -2.177449; 1.325740; 2.880680; 0.974878
4.674918; -0.382212; 0.090012; -2.046221; 1.287166; 2.914147; 1.044795
4.774384; -0.287926; 0.048876; -1.919864; 1.188968; 2.949593; 1.631007
4.873850; -0.195608; 0.021172; -1.803869; 1.250669; 3.004090; 0.687479
4.973317; -0.089601; 0.003560; -1.667438; 1.255837; 3.026767; -33.731948
5.072783; 0.000000; 0.000000; -1.552129; 1.361668; 1.565546; -0.006999
