x_m,y_m
-0.911068,0.540091
-0.914848,0.505278
-0.917582,0.470142
-0.919334,0.434688
-0.920178,0.398909
-0.920185,0.362782
-0.919430,0.326268
-0.917986,0.289312
-0.915920,0.251846
-0.913294,0.213781
-0.910162,0.175016
-0.906563,0.135433
-0.889595,0.101490
-0.863659,0.072543
-0.836784,0.044953
-0.794890,0.028201
-0.754089,0.013132
-0.714362,-0.000369
-0.675688,-0.012410
-0.638041,-0.023093
-0.601393,-0.032510
-0.565716,-0.040749
-0.530977,-0.047892
-0.497147,-0.054014
-0.464192,-0.059186
-0.432081,-0.063474
-0.400781,-0.066939
-0.370259,-0.069642
-0.340482,-0.071634
-0.311417,-0.072969
-0.283031,-0.073694
-0.255289,-0.073855
-0.228158,-0.073492
-0.201602,-0.072646
-0.175587,-0.071352
-0.150076,-0.069642
-0.125032,-0.067545
-0.100420,-0.065087
-0.076201,-0.062290
-0.052337,-0.059171
-0.028792,-0.055743
-0.005528,-0.052015
0.017491,-0.047993
0.040301,-0.043674
0.062936,-0.039056
0.085427,-0.034129
0.107805,-0.028878
0.130097,-0.023287
0.152325,-0.017331
0.174511,-0.010987
0.196670,-0.004223
0.218814,0.002992
0.240949,0.010693
0.263078,0.018919
0.285197,0.027708
0.307297,0.037098
0.329365,0.047130
0.351381,0.057844
0.373321,0.069277
0.395157,0.081465
0.416855,0.094444
0.438379,0.108243
0.459688,0.122890
0.480740,0.138409
0.501491,0.154818
0.521896,0.172133
0.541912,0.190363
0.561496,0.209514
0.580609,0.229586
0.599213,0.250577
0.617277,0.272480
0.634776,0.295288
0.651691,0.318989
0.668009,0.343573
0.683726,0.369031
0.698846,0.395355
0.713379,0.422543
0.727346,0.450596
0.740771,0.479525
0.753687,0.509347
0.766130,0.540091
0.778138,0.571795
0.789752,0.604512
0.801011,0.638305
0.811950,0.673252
0.822600,0.709443
0.820507,0.743990
0.810980,0.776931
0.790490,0.806292
0.770253,0.834874
0.750263,0.862786
0.726810,0.888429
0.703597,0.913262
0.680510,0.937319
0.657442,0.960616
0.634298,0.983154
0.610994,1.004923
0.587460,1.025905
0.563642,1.046078
0.539498,1.065413
0.515000,1.083883
0.490135,1.101464
0.464899,1.118130
0.439299,1.133863
0.413350,1.148647
0.387071,1.162474
0.360488,1.175339
0.333630,1.187242
0.306526,1.198190
0.279207,1.208193
0.251702,1.217263
0.224039,1.225419
0.196243,1.232679
0.168339,1.239065
0.140344,1.244596
0.112277,1.249296
0.084150,1.253183
0.055974,1.256277
0.027755,1.258593
-0.000501,1.260145
-0.028792,1.260943
-0.057117,1.260991
-0.085473,1.260292
-0.113862,1.258843
-0.142282,1.256637
-0.170730,1.253661
-0.199203,1.249901
-0.227692,1.245336
-0.256188,1.239942
-0.284676,1.233694
-0.313138,1.226562
-0.341551,1.218516
-0.369885,1.209524
-0.398108,1.199552
-0.426180,1.188569
-0.454057,1.176544
-0.481688,1.163449
-0.509020,1.149257
-0.535992,1.133946
-0.562542,1.117498
-0.588601,1.099900
-0.614101,1.081144
-0.638968,1.061230
-0.663131,1.040163
-0.686516,1.017955
-0.709050,0.994625
-0.730665,0.970199
-0.751292,0.944710
-0.770870,0.918198
-0.789340,0.890708
-0.806651,0.862291
-0.822761,0.833002
-0.837634,0.802900
-0.851243,0.772046
-0.863573,0.740504
-0.874618,0.708336
-0.884380,0.675603
-0.892876,0.642362
-0.900131,0.608667
-0.906180,0.574564
