# x_m,y_m,w_tr_right_m,w_tr_left_m
0.1919,-0.1111,0.4411,0.4411
0.1393,-0.1300,0.4414,0.4414
0.0853,-0.1452,0.4451,0.4451
0.0322,-0.1631,0.4473,0.4473
0.0000,-0.1703,0.4544,0.4544
0.0002,-0.1821,0.4449,0.4449
0.0490,-0.1657,0.4502,0.4502
0.1047,-0.1717,0.4420,0.4420
0.1595,-0.1834,0.4306,0.4306
0.2143,-0.1958,0.4224,0.4224
0.2697,-0.2045,0.4197,0.4197
0.3253,-0.2111,0.4199,0.4199
0.3812,-0.2092,0.4276,0.4276
0.4082,-0.1713,0.4704,0.4704
0.4153,-0.1157,0.5318,0.5318
0.4210,-0.0598,0.5930,0.5930
0.4259,-0.0040,0.6540,0.6540
0.4305,0.0520,0.7181,0.7181
0.4351,0.1079,0.7839,0.7839
0.4401,0.1638,0.8519,0.8519
0.4449,0.2197,0.9204,0.9204
0.4499,0.2755,0.9910,0.9910
0.4553,0.3314,1.0636,1.0636
0.4597,0.3873,1.1327,1.1327
0.4633,0.4433,1.1983,1.1983
0.4912,0.4664,1.2164,1.2164
0.5463,0.4725,1.1707,1.1707
0.5906,0.5063,1.1030,1.1030
0.6191,0.5543,1.0317,1.0317
0.6411,0.6059,0.9665,0.9665
0.6587,0.6592,0.9113,0.9113
0.6784,0.7116,0.8775,0.8775
0.6952,0.7650,0.8778,0.8778
0.7080,0.8192,0.9250,0.9250
0.6907,0.8722,1.0312,1.0312
0.6397,0.8880,1.0993,1.0993
0.5839,0.8938,1.1554,1.1554
0.5309,0.9069,1.1974,1.1974
0.4815,0.9335,1.1504,1.1504
0.4557,0.9583,0.9930,0.9930
0.4957,0.9974,0.8412,0.8412
0.4756,1.0452,0.6876,0.6876
0.4617,1.0984,0.6307,0.6307
0.4257,1.1413,0.6002,0.6002
0.3855,1.1803,0.5728,0.5728
0.3414,1.2149,0.5466,0.5466
0.2939,1.2447,0.5224,0.5224
0.2432,1.2687,0.5020,0.5020
0.1904,1.2873,0.4840,0.4840
0.1347,1.2935,0.4736,0.4736
0.0787,1.2963,0.4678,0.4678
0.0226,1.2956,0.4640,0.4640
-0.0334,1.2935,0.4609,0.4609
-0.0895,1.2950,0.4635,0.4635
-0.1453,1.2904,0.4655,0.4655
-0.2004,1.2802,0.4698,0.4698
-0.2272,1.2311,0.5094,0.5094
-0.2454,1.1782,0.5548,0.5548
-0.2579,1.1235,0.6052,0.6052
-0.2681,1.0683,0.6592,0.6592
-0.2817,1.0139,0.7157,0.7157
-0.3002,0.9611,0.7671,0.7671
-0.3286,0.9129,0.8100,0.8100
-0.3611,0.8672,0.8511,0.8511
-0.3906,0.8197,0.8949,0.8949
-0.4354,0.7893,0.9265,0.9265
-0.4902,0.8008,0.9189,0.9189
-0.5352,0.7794,0.9513,0.9513
-0.5545,0.7442,1.0544,1.0544
-0.5937,0.7843,1.0863,1.0863
-0.6401,0.8156,1.1237,1.1237
-0.6901,0.8409,1.1632,1.1632
-0.7431,0.8590,1.2056,1.2056
-0.7986,0.8613,1.2462,1.2462
-0.8273,0.8203,1.2652,1.2652
-0.8131,0.7755,1.2525,1.2525
-0.8654,0.7551,1.1894,1.1894
-0.9172,0.7337,1.1301,1.1301
-0.9677,0.7092,1.0643,1.0643
-1.0176,0.6837,1.0009,1.0009
-1.0664,0.6559,0.9311,0.9311
-1.1145,0.6272,0.8625,0.8625
-1.1618,0.5970,0.7870,0.7870
-1.1532,0.5459,0.7483,0.7483
-1.1320,0.4941,0.7136,0.7136
-1.1068,0.4441,0.6801,0.6801
-1.0770,0.3967,0.6465,0.6465
-1.0475,0.3491,0.6208,0.6208
-1.0133,0.3047,0.5939,0.5939
-0.9783,0.2609,0.5706,0.5706
-0.9397,0.2202,0.5481,0.5481
-0.8974,0.1839,0.5343,0.5343
-0.8471,0.1591,0.5251,0.5251
-0.7953,0.1378,0.5174,0.5174
-0.7425,0.1193,0.5100,0.5100
-0.6883,0.1049,0.5024,0.5024
-0.6334,0.0945,0.4875,0.4875
-0.5800,0.0773,0.4678,0.4678
-0.5286,0.0553,0.4559,0.4559
-0.4755,0.0375,0.4456,0.4456
-0.4230,0.0178,0.4412,0.4412
-0.3711,-0.0031,0.4419,0.4419
-0.3190,-0.0237,0.4460,0.4460
-0.2674,-0.0458,0.4560,0.4560
-0.2143,-0.0636,0.4639,0.4639
-0.1598,-0.0767,0.4677,0.4677
-0.1049,-0.0884,0.4730,0.4730
-0.0495,-0.0970,0.4773,0.4773
0.0060,-0.1053,0.4839,0.4839
0.0618,-0.1111,0.4890,0.4890
0.1178,-0.1129,0.4921,0.4921
0.1733,-0.1062,0.4889,0.4889
0.2291,-0.1006,0.4797,0.4797
0.2840,-0.0894,0.4730,0.4730
0.3368,-0.0711,0.4639,0.4639
0.3882,-0.0490,0.4419,0.4419
0.4205,-0.0314,0.4294,0.4294
0.3894,-0.0424,0.4316,0.4316
0.3359,-0.0593,0.4355,0.4355
0.2830,-0.0780,0.4388,0.4388
