time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
1780826582.039194,odom,0.253905,0.456018,0.000000,-2.006275,0.457109,,1780826581.913786
1780826582.089275,odom,0.253905,0.456018,0.000000,-2.006275,0.457109,,1780826581.913786
1780826582.139270,odom,0.252984,0.457225,0.000000,-1.958853,0.457109,,1780826581.913786
1780826582.189238,odom,0.251710,0.455884,0.000000,-1.915214,0.457109,,1780826581.913786
1780826582.239234,odom,0.250739,0.456541,0.000000,-1.870904,0.457109,,1780826581.913786
1780826582.289253,odom,0.250739,0.456541,0.000000,-1.870904,0.457109,,1780826581.913786
1780826582.339267,odom,0.249663,0.457615,0.000000,-1.823443,0.457109,,1780826581.913786
1780826582.389243,odom,0.248588,0.456092,0.000000,-1.779793,0.457109,,1780826581.913786
1780826582.439142,odom,0.247534,0.456623,0.000000,-1.735226,0.492176,0.834865,1780826582.313825
1780826582.489234,odom,0.247534,0.456623,0.000000,-1.735226,0.492176,0.834865,1780826582.313825
1780826582.539260,odom,0.246323,0.457537,0.000000,-1.687609,0.497443,0.832039,1780826582.413785
1780826582.589244,odom,0.245458,0.455899,0.000000,-1.643568,0.497443,0.832039,1780826582.413785
1780826582.639132,odom,0.244346,0.456263,0.000000,-1.598966,0.497443,0.832039,1780826582.413785
1780826582.689244,odom,0.244346,0.456263,0.000000,-1.598966,0.497443,0.832039,1780826582.413785
1780826582.739275,odom,0.243021,0.457005,0.000000,-1.551154,0.497443,0.832039,1780826582.413785
1780826582.789360,odom,0.242386,0.455269,0.000000,-1.507013,0.497443,0.832039,1780826582.413785
1780826582.839148,odom,0.241242,0.455468,0.000000,-1.462572,0.491493,0.806439,1780826582.712744
1780826582.889254,odom,0.241242,0.455468,0.000000,-1.462572,0.491493,0.806439,1780826582.712744
1780826582.939279,odom,0.239827,0.456028,0.000000,-1.415000,0.491493,0.806439,1780826582.712744
1780826582.989217,odom,0.239443,0.454204,0.000000,-1.371270,0.491493,0.806439,1780826582.712744
1780826583.039160,odom,0.238260,0.454276,0.000000,-1.326639,0.491493,0.806439,1780826582.712744
1780826583.089247,odom,0.238260,0.454276,0.000000,-1.326639,0.491493,0.806439,1780826582.712744
1780826583.139263,odom,0.236785,0.454629,0.000000,-1.278997,0.492176,0.825783,1780826583.012715
1780826583.189259,odom,0.236609,0.452823,0.000000,-1.234870,0.492176,0.825783,1780826583.012715
1780826583.239175,odom,0.235454,0.452700,0.000000,-1.190188,0.380012,0.844370,1780826583.113702
1780826583.289250,odom,0.235454,0.452700,0.000000,-1.190188,0.380012,0.844370,1780826583.113702
1780826583.339268,odom,0.233954,0.452843,0.000000,-1.142403,0.504009,0.818546,1780826583.213706
1780826583.389258,odom,0.234087,0.450972,0.000000,-1.098597,0.504009,0.818546,1780826583.213706
1780826583.439202,odom,0.232941,0.450717,0.000000,-1.054127,0.494620,0.836364,1780826583.312728
1780826583.489275,odom,0.232941,0.450717,0.000000,-1.054127,0.494620,0.836364,1780826583.312728
1780826583.539254,odom,0.231417,0.450673,0.000000,-1.006734,0.481104,0.830470,1780826583.413711
