time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
1780827806.312226,odom,-0.090439,0.775883,0.000000,0.705843,0.473152,0.790231,1780827806.113530
1780827806.411896,odom,-0.090897,0.775020,0.000000,0.705459,0.460053,0.823119,1780827806.213474
1780827806.511837,odom,-0.090469,0.775904,0.000000,0.704723,0.516035,0.803236,1780827806.313387
1780827806.612153,odom,-0.090923,0.775051,0.000000,0.704304,0.502195,0.780417,1780827806.413516
1780827806.712023,odom,-0.090491,0.775926,0.000000,0.703631,0.472000,0.808125,1780827806.513362
1780827806.811996,odom,-0.090952,0.775055,0.000000,0.703238,0.505223,0.816677,1780827806.613407
1780827806.911819,odom,-0.090522,0.775928,0.000000,0.702490,0.488480,0.829883,1780827806.713562
1780827807.012183,odom,-0.090975,0.775076,0.000000,0.702130,0.488480,0.829883,1780827806.713562
1780827807.111868,odom,-0.090539,0.775952,0.000000,0.701400,0.488480,0.829883,1780827806.713562
1780827807.211903,odom,-0.090996,0.775095,0.000000,0.701031,0.458981,,1780827807.013531
1780827807.311841,odom,-0.090556,0.775980,0.000000,0.700315,0.467039,0.807014,1780827807.113517
1780827807.411848,odom,-0.091017,0.775122,0.000000,0.699907,0.505000,0.817228,1780827807.213408
1780827807.511897,odom,-0.090579,0.775993,0.000000,0.699200,0.466027,0.811158,1780827807.313386
1780827807.611850,odom,-0.091042,0.775125,0.000000,0.698821,0.491367,0.809054,1780827807.411579
1780827807.711901,odom,-0.090601,0.775999,0.000000,0.698103,0.499016,0.820954,1780827807.513359
1780827807.812204,odom,-0.091063,0.775140,0.000000,0.697753,0.505120,,1780827807.611660
1780827807.911848,odom,-0.090625,0.775998,0.000000,0.697119,0.495682,0.827026,1780827807.713491
1780827808.011901,odom,-0.091086,0.775135,0.000000,0.696741,0.490016,0.801490,1780827807.813443
1780827808.112102,odom,-0.090647,0.775996,0.000000,0.696133,0.466053,0.803545,1780827807.912695
1780827808.211956,odom,-0.091112,0.775135,0.000000,0.695795,0.500484,0.818889,1780827808.013504
1780827808.312088,odom,-0.090670,0.776006,0.000000,0.695163,0.482272,0.806197,1780827808.113434
1780827808.411873,odom,-0.091130,0.775157,0.000000,0.694796,0.486083,0.811444,1780827808.213391
1780827808.512109,odom,-0.090677,0.776052,0.000000,0.694170,0.488026,0.814001,1780827808.313527
1780827808.611988,odom,-0.091138,0.775207,0.000000,0.693736,0.493465,0.807047,1780827808.413458
1780827808.711881,odom,-0.090681,0.776115,0.000000,0.693165,0.493465,0.807047,1780827808.413458
1780827808.812042,odom,-0.091100,0.775308,0.000000,0.692977,0.493465,0.807047,1780827808.413458
1780827808.911856,odom,-0.090599,0.776180,0.000000,0.692636,0.505832,0.835259,1780827808.714772
1780827809.011970,odom,-0.091040,0.775331,0.000000,0.692323,0.494490,0.819364,1780827808.813835
1780827809.111858,odom,-0.090533,0.776266,0.000000,0.692184,0.497402,0.854204,1780827808.912601
1780827809.211845,odom,-0.090915,0.775495,0.000000,0.692233,0.506211,0.876621,1780827809.013449
1780827809.311835,odom,-0.090122,0.776691,0.000000,0.691751,0.499485,0.828730,1780827809.114599
1780827809.411877,odom,-0.089650,0.776813,0.000000,0.692008,0.519593,0.814942,1780827809.213511
1780827809.512082,odom,-0.084212,0.782560,0.000000,0.692937,0.507887,0.803543,1780827809.313481
1780827809.611898,odom,-0.080661,0.785570,0.000000,0.693770,0.498325,0.784920,1780827809.413401
1780827809.711860,odom,-0.067478,0.799145,0.000000,0.697092,0.482415,0.794306,1780827809.513409
1780827809.811881,odom,-0.060410,0.805830,0.000000,0.699987,0.482415,0.794306,1780827809.513409
1780827809.911877,odom,-0.040721,0.826079,0.000000,0.703581,0.482415,0.794306,1780827809.513409
1780827810.011848,odom,-0.031339,0.835144,0.000000,0.707318,0.391288,0.797406,1780827809.813526
1780827810.111812,odom,-0.008407,0.858880,0.000000,0.716990,0.461039,0.785510,1780827809.912763
1780827810.211844,odom,0.002014,0.869219,0.000000,0.721867,0.348368,0.761183,1780827810.014962
1780827810.311915,odom,0.026416,0.895118,0.000000,0.734482,0.374012,0.794638,1780827810.113531
1780827810.411866,odom,0.037609,0.906549,0.000000,0.741619,0.370001,0.789446,1780827810.213507
1780827810.511855,odom,0.062930,0.933969,0.000000,0.755090,0.469107,0.760389,1780827810.313628
1780827810.611874,odom,0.074297,0.945906,0.000000,0.761749,0.469107,0.760389,1780827810.313628
1780827810.711860,odom,0.098504,0.973463,0.000000,0.777208,0.469107,0.760389,1780827810.313628
1780827810.811983,odom,0.109243,0.985598,0.000000,0.784457,0.389371,0.779016,1780827810.613417
1780827810.912007,odom,0.131550,1.013397,0.000000,0.800332,0.480692,0.795460,1780827810.713639
1780827811.011962,odom,0.141532,1.025993,0.000000,0.807423,0.479897,0.781927,1780827810.813462
1780827811.111935,odom,0.162084,1.055059,0.000000,0.822175,0.479897,0.781927,1780827810.813462
1780827811.211948,odom,0.171364,1.068567,0.000000,0.828375,0.479897,0.781927,1780827810.813462
1780827811.311882,odom,0.190372,1.099207,0.000000,0.840747,0.479897,0.781927,1780827810.813462
1780827811.411973,odom,0.199034,1.113659,0.000000,0.846105,0.479897,0.781927,1780827810.813462
1780827811.511995,odom,0.216406,1.146297,0.000000,0.856812,0.527564,0.886878,1780827811.313577
1780827811.612154,odom,0.224089,1.161773,0.000000,0.861239,0.502252,0.903414,1780827811.412679
1780827811.712103,odom,0.238885,1.195658,0.000000,0.868404,0.534630,0.946956,1780827811.512381
1780827811.812236,odom,0.245291,1.211482,0.000000,0.870812,0.515214,0.983610,1780827811.613749
1780827811.911940,odom,0.257686,1.245452,0.000000,0.873490,0.533085,0.995448,1780827811.713487
1780827812.012122,odom,0.263075,1.261706,0.000000,0.874387,1.872561,1.002005,1780827811.811945
1780827812.111977,odom,0.273618,1.296753,0.000000,0.874462,1.845818,1.008933,1780827811.912667
1780827812.211956,odom,0.278193,1.313629,0.000000,0.874810,1.825068,1.028764,1780827812.013488
1780827812.311918,odom,0.286407,1.349417,0.000000,0.874644,1.806194,1.043707,1780827812.113447
1780827812.412062,odom,0.289685,1.366872,0.000000,0.874790,1.781284,1.201596,1780827812.213397
1780827812.512076,odom,0.295108,1.404019,0.000000,0.872983,1.757132,1.181542,1780827812.313496
1780827812.612077,odom,0.297025,1.422133,0.000000,0.872017,1.740557,1.135540,1780827812.413447
1780827812.711948,odom,0.299877,1.459276,0.000000,0.867827,1.718663,1.110101,1780827812.512594
1780827812.812040,odom,0.300557,1.476935,0.000000,0.866211,1.699435,1.080030,1780827812.611750
1780827812.911968,odom,0.301107,1.512557,0.000000,0.861176,1.684665,1.115452,1780827812.713471
1780827813.011994,odom,0.300772,1.530205,0.000000,0.859386,1.679781,1.020095,1780827812.812064
1780827813.112065,odom,0.299174,1.566043,0.000000,0.854486,1.653803,1.154349,1780827812.912662
1780827813.212007,odom,0.297796,1.583648,0.000000,0.853091,1.646641,0.990687,1780827813.015136
1780827813.311881,odom,0.294234,1.617801,0.000000,0.849972,1.641397,0.932000,1780827813.113569
1780827813.411991,odom,0.291949,1.634410,0.000000,0.849580,1.598828,0.907450,1780827813.211772
1780827813.511926,odom,0.286653,1.666689,0.000000,0.848652,1.621597,0.872983,1780827813.313461
1780827813.612009,odom,0.283461,1.683068,0.000000,0.849003,1.621597,0.872983,1780827813.313461
1780827813.711956,odom,0.276151,1.715050,0.000000,0.849679,1.621597,0.872983,1780827813.313461
1780827813.811969,odom,0.272060,1.730912,0.000000,0.850796,1.621597,0.872983,1780827813.313461
1780827813.911957,odom,0.254276,1.757793,0.000000,1.213083,1.621597,0.872983,1780827813.313461
1780827814.013505,odom,0.249146,1.771502,0.000000,1.227102,1.621597,0.872983,1780827813.313461
1780827814.111908,odom,0.242161,1.790639,0.000000,1.251016,1.621597,0.872983,1780827813.313461
1780827814.212094,odom,0.238627,1.798459,0.000000,1.265804,1.621597,0.872983,1780827813.313461
1780827814.311958,odom,0.234960,1.807961,0.000000,1.294976,1.621597,0.872983,1780827813.313461
1780827814.412004,odom,0.232950,1.811726,0.000000,1.311686,1.621597,0.872983,1780827813.313461
1780827814.511967,odom,0.232567,1.813263,0.000000,1.344443,1.621597,0.872983,1780827813.313461
1780827814.611969,odom,0.231537,1.814193,0.000000,1.361926,1.621597,0.872983,1780827813.313461
1780827814.711932,odom,0.232517,1.811951,0.000000,1.395619,1.621597,0.872983,1780827813.313461
1780827814.811960,odom,0.232125,1.811567,0.000000,1.413397,1.538649,0.784039,1780827814.613600
1780827814.911904,odom,0.233885,1.808065,0.000000,1.447489,1.566143,0.763314,1780827814.713555
1780827815.011927,odom,0.234274,1.807510,0.000000,1.415796,1.567952,0.785012,1780827814.813505
1780827815.112000,odom,0.235022,1.806329,0.000000,1.437732,1.515626,0.802427,1780827814.912707
1780827815.211986,odom,0.234247,1.807565,0.000000,1.451514,1.547399,0.765470,1780827815.013546
1780827815.312089,odom,0.233027,1.812624,0.000000,1.478551,1.547399,0.765470,1780827815.013546
1780827815.411982,odom,0.231847,1.815318,0.000000,1.490500,1.547399,0.765470,1780827815.013546
1780827815.512037,odom,0.230422,1.821566,0.000000,1.509627,1.547399,0.765470,1780827815.013546
1780827815.612024,odom,0.228622,1.826164,0.000000,1.519588,1.547399,0.765470,1780827815.013546
1780827815.711925,odom,0.222758,1.841376,0.000000,1.540164,1.582249,0.760631,1780827815.512369
1780827815.811957,odom,0.218802,1.849875,0.000000,1.550876,1.582249,0.760631,1780827815.512369
1780827815.911973,odom,0.208620,1.871658,0.000000,1.572760,1.582249,0.760631,1780827815.512369
1780827816.011958,odom,0.202987,1.882141,0.000000,1.583722,1.582249,0.760631,1780827815.512369
1780827816.111934,odom,0.189136,1.907122,0.000000,1.605366,1.584958,0.780760,1780827815.912665
1780827816.211980,odom,0.181709,1.918887,0.000000,1.615923,1.622949,0.823383,1780827816.013499
1780827816.312037,odom,0.163908,1.946213,0.000000,1.635975,1.622949,0.823383,1780827816.013499
1780827816.412046,odom,0.154154,1.958418,0.000000,1.696996,1.622949,0.823383,1780827816.013499
1780827816.511864,odom,0.133121,1.985524,0.000000,1.729580,1.701648,0.864718,1780827816.313535
1780827816.611936,odom,0.122719,1.997317,0.000000,1.746586,1.702576,0.909407,1780827816.413621
1780827816.711870,odom,0.100717,2.022381,0.000000,1.785131,1.747266,0.929177,1780827816.512565
1780827816.811985,odom,0.089580,2.033578,0.000000,1.804997,1.810327,0.931998,1780827816.613496
1780827816.911912,odom,0.065633,2.058263,0.000000,1.839097,1.866222,1.041624,1780827816.713768
1780827817.011952,odom,0.053566,2.069356,0.000000,1.856578,1.891747,1.127597,1780827816.813585
1780827817.111884,odom,0.028592,2.093061,0.000000,1.886608,1.992342,1.092473,1780827816.912648
1780827817.211994,odom,0.016429,2.103275,0.000000,1.904085,2.080886,1.151818,1780827817.013632
1780827817.311966,odom,-0.008970,2.124633,0.000000,1.936878,2.222217,1.176392,1780827817.113767
1780827817.411980,odom,-0.021891,2.133978,0.000000,1.955978,,1.164651,1780827817.213547
1780827817.512075,odom,-0.049853,2.153971,0.000000,1.990426,,1.152086,1780827817.313640
1780827817.611973,odom,-0.063995,2.162447,0.000000,2.011508,,1.084985,1780827817.413599
1780827817.711895,odom,-0.094227,2.180408,0.000000,2.048857,1.679231,0.998628,1780827817.512991
1780827817.811969,odom,-0.108946,2.187618,0.000000,2.069276,1.602944,0.878765,1780827817.612686
1780827817.911894,odom,-0.136503,2.201602,0.000000,2.105271,1.619046,0.865384,1780827817.713573
1780827818.011962,odom,-0.147472,2.205932,0.000000,2.126123,1.591417,0.832265,1780827817.813544
1780827818.111961,odom,-0.162147,2.212658,0.000000,2.165945,1.539938,0.798815,1780827817.912750
