# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0430,0.0918,0.7158,0.4651
0.0709,0.0786,0.7176,0.4688
0.0990,0.0655,0.7104,0.4729
0.1276,0.0527,0.6958,0.4850
0.1567,0.0407,0.6884,0.4971
0.1864,0.0295,0.6777,0.5272
0.2168,0.0193,0.6668,0.5510
0.2480,0.0104,0.6627,0.5761
0.2799,0.0030,0.6570,0.6006
0.3127,-0.0028,0.6443,0.6257
0.3462,-0.0069,0.6317,0.6513
0.3805,-0.0091,0.6268,0.6755
0.4154,-0.0094,0.6295,0.6979
0.4510,-0.0076,0.6250,0.7210
0.4871,-0.0038,0.6327,0.7267
0.5236,0.0020,0.6439,0.7323
0.5603,0.0099,0.6511,0.7380
0.5972,0.0197,0.6627,0.7442
0.6341,0.0316,0.6715,0.7505
0.6708,0.0453,0.6803,0.7568
0.7071,0.0608,0.6891,0.7631
0.7429,0.0780,0.6979,0.7693
0.7780,0.0968,0.7067,0.7756
0.8124,0.1171,0.7150,0.7825
0.8457,0.1388,0.7232,0.7894
0.8780,0.1618,0.7315,0.7963
0.9090,0.1859,0.7398,0.8000
0.9387,0.2112,0.7481,0.8000
0.9670,0.2375,0.7564,0.8000
0.9938,0.2648,0.7418,0.8000
1.0190,0.2929,0.7272,0.8000
1.0426,0.3219,0.7127,0.8000
1.0646,0.3516,0.6898,0.8000
1.0849,0.3820,0.6669,0.8000
1.1035,0.4132,0.6441,0.8000
1.1203,0.4450,0.6212,0.8000
1.1355,0.4775,0.6018,0.8000
1.1491,0.5106,0.5859,0.8000
1.1609,0.5442,0.5963,0.8000
1.1711,0.5785,0.6068,0.8000
1.1797,0.6133,0.6206,0.8000
1.1866,0.6486,0.6380,0.8000
1.1919,0.6844,0.6588,0.8000
1.1956,0.7206,0.6831,0.8000
1.1977,0.7572,0.7108,0.8000
1.1983,0.7940,0.7360,0.8000
1.1972,0.8311,0.7703,0.8000
1.1945,0.8683,0.8000,0.8000
1.1901,0.9054,0.8000,0.8000
1.1842,0.9425,0.8000,0.8000
1.1766,0.9794,0.8000,0.8000
1.1673,1.0160,0.8000,0.8000
1.1564,1.0521,0.8000,0.8000
1.1438,1.0876,0.8000,0.8000
1.1295,1.1224,0.8000,0.8000
1.1135,1.1564,0.7808,0.8000
1.0959,1.1895,0.7258,0.8000
1.0766,1.2215,0.6694,0.8000
1.0557,1.2524,0.6288,0.8000
1.0333,1.2821,0.5788,0.8000
1.0093,1.3105,0.5345,0.8000
0.9839,1.3375,0.5005,0.8000
0.9570,1.3631,0.4668,0.8000
0.9289,1.3873,0.4357,0.8000
0.8995,1.4100,0.4058,0.8000
0.8690,1.4313,0.3795,0.8000
0.8374,1.4512,0.3561,0.8000
0.8049,1.4697,0.3374,0.8000
0.7716,1.4868,0.3203,0.8000
0.7376,1.5026,0.3089,0.8000
0.7030,1.5172,0.2985,0.8000
0.6678,1.5306,0.2902,0.8000
0.6323,1.5429,0.2856,0.8000
0.5964,1.5542,0.2802,0.8000
0.5602,1.5646,0.2760,0.8000
0.5239,1.5741,0.2697,0.8000
0.4875,1.5829,0.2661,0.8000
0.4510,1.5910,0.2690,0.8000
0.4145,1.5985,0.2691,0.8000
0.3781,1.6055,0.2683,0.8000
0.3416,1.6121,0.2707,0.8000
0.3052,1.6182,0.2730,0.8000
0.2689,1.6241,0.2719,0.8000
0.2326,1.6297,0.2728,0.8000
0.1964,1.6351,0.2752,0.8000
0.1601,1.6403,0.2739,0.8000
0.1239,1.6454,0.2682,0.8000
0.0876,1.6503,0.2633,0.8000
0.0513,1.6552,0.2582,0.8000
0.0149,1.6600,0.2531,0.8000
-0.0215,1.6648,0.2479,0.8000
-0.0581,1.6695,0.2459,0.8000
-0.0948,1.6742,0.2441,0.8000
-0.1316,1.6789,0.2410,0.8000
-0.1686,1.6836,0.2408,0.8000
-0.2057,1.6882,0.2405,0.8000
-0.2430,1.6928,0.2402,0.8000
-0.2803,1.6974,0.2403,0.8000
-0.3178,1.7018,0.2403,0.8000
-0.3554,1.7062,0.2404,0.8000
-0.3931,1.7104,0.2404,0.8000
-0.4308,1.7144,0.2405,0.8000
-0.4685,1.7182,0.2405,0.8000
-0.5062,1.7217,0.2406,0.8000
-0.5439,1.7249,0.2407,0.8000
-0.5815,1.7276,0.2408,0.8000
-0.6191,1.7299,0.2409,0.8000
-0.6565,1.7316,0.2411,0.8000
-0.6938,1.7326,0.2412,0.8000
