# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0949,0.2542,0.7852,0.4083
0.1257,0.2594,0.7719,0.4007
0.1565,0.2646,0.7602,0.4011
0.1873,0.2698,0.7484,0.4016
0.2181,0.2752,0.7392,0.3979
0.2489,0.2809,0.7360,0.3939
0.2797,0.2870,0.7302,0.3898
0.3103,0.2936,0.7244,0.3856
0.3407,0.3009,0.7232,0.3853
0.3709,0.3091,0.7227,0.3850
0.4009,0.3181,0.7300,0.4059
0.4305,0.3281,0.7357,0.4187
0.4597,0.3392,0.7415,0.4316
0.4885,0.3514,0.7566,0.4460
0.5167,0.3648,0.7753,0.4612
0.5444,0.3795,0.7970,0.4771
0.5714,0.3954,0.8000,0.4939
0.5977,0.4126,0.8000,0.5114
0.6233,0.4311,0.8000,0.5305
0.6480,0.4509,0.8000,0.5375
0.6719,0.4718,0.8000,0.5453
0.6949,0.4939,0.8000,0.5539
0.7169,0.5171,0.8000,0.5625
0.7379,0.5413,0.8000,0.5711
0.7578,0.5665,0.8000,0.5797
0.7767,0.5926,0.8000,0.5882
0.7944,0.6195,0.8000,0.5968
0.8111,0.6471,0.8000,0.6054
0.8265,0.6753,0.8000,0.6140
0.8408,0.7041,0.8000,0.6226
0.8540,0.7333,0.8000,0.6312
0.8659,0.7630,0.8000,0.6397
0.8765,0.7929,0.7905,0.6483
0.8860,0.8232,0.7616,0.6569
0.8942,0.8537,0.7530,0.6655
0.9012,0.8844,0.7478,0.6749
0.9070,0.9151,0.7497,0.6834
0.9115,0.9460,0.7501,0.6920
0.9147,0.9769,0.7499,0.7006
0.9168,1.0079,0.7509,0.7092
0.9175,1.0388,0.7366,0.7178
0.9170,1.0698,0.7318,0.7263
0.9153,1.1006,0.7484,0.7349
0.9123,1.1314,0.7533,0.7435
0.9081,1.1621,0.7630,0.7513
0.9026,1.1926,0.7706,0.7599
0.8959,1.2230,0.7852,0.7685
0.8880,1.2531,0.8000,0.7771
0.8788,1.2830,0.8000,0.7856
0.8685,1.3127,0.8000,0.7934
0.8569,1.3419,0.8000,0.8000
0.8442,1.3708,0.8000,0.8000
0.8302,1.3993,0.8000,0.8000
0.8152,1.4273,0.8000,0.8000
0.7990,1.4547,0.8000,0.8000
0.7817,1.4814,0.8000,0.8000
0.7633,1.5075,0.7878,0.8000
0.7439,1.5329,0.7584,0.8000
0.7234,1.5574,0.7225,0.8000
0.7020,1.5811,0.6824,0.8000
