# x_m,y_m,w_tr_right_m,w_tr_left_m
0.1828,0.4921,0.7876,0.3949
0.2063,0.4999,0.7779,0.3956
0.2297,0.5078,0.7682,0.3963
0.2530,0.5160,0.7569,0.3916
0.2760,0.5248,0.7456,0.3868
0.2987,0.5343,0.7389,0.3759
0.3210,0.5447,0.7330,0.3666
0.3428,0.5560,0.7310,0.3563
0.3641,0.5686,0.7291,0.3501
0.3849,0.5824,0.7269,0.3476
0.4049,0.5976,0.7279,0.3479
0.4243,0.6142,0.7299,0.3470
0.4428,0.6324,0.7373,0.3404
0.4606,0.6520,0.7448,0.3337
0.4774,0.6732,0.7605,0.3296
0.4934,0.6959,0.7761,0.3255
0.5085,0.7201,0.7918,0.3215
0.5225,0.7456,0.8196,0.3242
0.5356,0.7725,0.8440,0.3270
0.5477,0.8005,0.8686,0.3229
0.5588,0.8296,0.9124,0.3230
0.5689,0.8597,0.9562,0.3232
0.5780,0.8905,0.9935,0.4441
0.5860,0.9220,1.0264,0.5654
0.5930,0.9540,1.0648,0.6842
0.5990,0.9864,1.0755,0.8045
0.6040,1.0190,1.0861,0.9248
0.6079,1.0517,1.0967,1.0451
0.6108,1.0843,1.0952,1.1585
0.6128,1.1168,1.0937,1.2720
0.6137,1.1490,1.0913,1.3877
0.6136,1.1808,1.0539,1.4000
0.6125,1.2121,1.0164,1.4000
0.6104,1.2430,0.9844,1.4000
0.6072,1.2732,0.9529,1.4000
0.6031,1.3029,0.9159,1.4000
0.5979,1.3319,0.9001,1.4000
0.5917,1.3604,0.8843,1.4000
0.5844,1.3881,0.8685,1.4000
0.5761,1.4153,0.8526,1.4000
0.5668,1.4418,0.8368,1.4000
0.5565,1.4678,0.8187,1.4000
0.5451,1.4932,0.8164,1.4000
0.5326,1.5181,0.8141,1.4000
0.5191,1.5425,0.8118,1.4000
0.5047,1.5664,0.8095,1.4000
0.4892,1.5899,0.8072,1.4000
0.4727,1.6130,0.8049,1.4000
0.4552,1.6357,0.8026,1.4000
0.4368,1.6580,0.8003,1.4000
0.4175,1.6798,0.8304,1.4000
0.3972,1.7013,0.8605,1.4000
0.3762,1.7223,0.8928,1.4000
0.3543,1.7429,0.9252,1.4000
0.3316,1.7630,0.9576,1.4000
0.3082,1.7826,0.9899,1.4000
0.2840,1.8016,0.9905,1.4000
0.2593,1.8199,0.9912,1.4000
0.2339,1.8376,0.9972,1.4000
0.2080,1.8546,1.0033,1.4000
0.1815,1.8708,1.0093,1.4000
0.1546,1.8861,0.9830,1.4000
0.1273,1.9005,0.9567,1.4000
0.0996,1.9140,0.9006,1.4000
0.0715,1.9265,0.8352,1.4000
0.0431,1.9379,0.7698,1.4000
0.0145,1.9483,0.7035,1.4000
-0.0144,1.9576,0.6654,1.4000
-0.0434,1.9657,0.6272,1.4000
-0.0727,1.9728,0.5836,1.4000
-0.1020,1.9786,0.5400,1.3832
-0.1315,1.9834,0.4964,1.3571
-0.1611,1.9870,0.4401,1.3318
-0.1907,1.9895,0.3848,1.3071
-0.2204,1.9910,0.3593,1.2864
-0.2500,1.9914,0.3418,1.2662
-0.2797,1.9907,0.3243,1.2460
-0.3093,1.9890,0.3077,1.2303
-0.3389,1.9864,0.2948,1.2145
-0.3683,1.9829,0.2819,1.1987
-0.3977,1.9784,0.2691,1.1818
-0.4270,1.9731,0.2564,1.1634
-0.4561,1.9670,0.2437,1.1449
-0.4850,1.9601,0.2435,1.1317
-0.5137,1.9524,0.2423,1.1208
-0.5422,1.9439,0.2410,1.1099
-0.5705,1.9348,0.2410,1.1007
-0.5985,1.9249,0.2411,1.0905
-0.6262,1.9143,0.2412,1.0815
-0.6536,1.9030,0.2411,1.0726
-0.6807,1.8911,0.2410,1.0637
-0.7074,1.8785,0.2408,1.0558
-0.7338,1.8652,0.2406,1.0495
-0.7599,1.8513,0.2403,1.0389
-0.7856,1.8367,0.2403,1.0298
-0.8109,1.8215,0.2403,1.0209
-0.8359,1.8057,0.2403,1.0120
-0.8605,1.7892,0.2403,1.0044
-0.8847,1.7722,0.2402,0.9979
-0.9087,1.7546,0.2401,0.9914
-0.9323,1.7364,0.2401,0.9863
-0.9556,1.7177,0.2401,0.9811
-0.9786,1.6986,0.2401,0.9764
-1.0014,1.6790,0.2401,0.9716
-1.0239,1.6589,0.2401,0.9712
-1.0462,1.6385,0.2401,0.9705
-1.0683,1.6178,0.2401,0.9705
-1.0903,1.5968,0.2401,0.9715
-1.1121,1.5755,0.2401,0.9725
-1.1337,1.5540,0.2402,0.9819
-1.1552,1.5323,0.2402,1.0968
-1.1765,1.5105,0.2403,1.2117
-1.1978,1.4886,0.2406,1.3283
-1.2189,1.4666,0.2416,1.4000
-1.2398,1.4445,0.2426,1.4000
