time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
1780833129.636542,odom,1.867319,-0.291263,0.000000,-2.857704,0.454200,0.808935,1780833129.450625
1780833129.736574,odom,1.868446,-0.290338,0.000000,-2.858608,0.454200,0.808935,1780833129.450625
1780833129.836828,odom,1.867335,-0.291286,0.000000,-2.859027,0.454200,0.808935,1780833129.450625
1780833129.936582,odom,1.868474,-0.290358,0.000000,-2.859852,0.454200,0.808935,1780833129.450625
1780833130.036517,odom,1.867347,-0.291316,0.000000,-2.860235,0.454200,0.808935,1780833129.450625
1780833130.136501,odom,1.868479,-0.290394,0.000000,-2.861207,0.454200,0.808935,1780833129.450625
1780833130.236529,odom,1.867366,-0.291336,0.000000,-2.861663,0.454200,0.808935,1780833129.450625
1780833130.336585,odom,1.868519,-0.290392,0.000000,-2.862343,0.475711,0.806387,1780833130.151131
1780833130.436530,odom,1.867406,-0.291328,0.000000,-2.862693,0.409826,0.820245,1780833130.251372
1780833130.536505,odom,1.868563,-0.290382,0.000000,-2.863429,0.467000,0.814411,1780833130.350654
1780833130.636520,odom,1.867425,-0.291340,0.000000,-2.863676,0.460392,0.830319,1780833130.451103
1780833130.736508,odom,1.868581,-0.290402,0.000000,-2.864416,0.466347,0.824637,1780833130.551060
1780833130.836588,odom,1.867471,-0.291335,0.000000,-2.864835,0.468000,0.815773,1780833130.650596
1780833130.936521,odom,1.868621,-0.290405,0.000000,-2.865613,0.468471,0.832325,1780833130.751113
1780833131.036522,odom,1.867502,-0.291344,0.000000,-2.865963,0.454274,0.839145,1780833130.851064
1780833131.136536,odom,1.868661,-0.290412,0.000000,-2.866926,0.410000,,1780833130.950583
1780833131.236541,odom,1.867526,-0.291366,0.000000,-2.867381,0.445001,0.810948,1780833131.051121
1780833131.336491,odom,1.868685,-0.290439,0.000000,-2.868344,0.478302,0.862339,1780833131.151053
1780833131.436529,odom,1.867559,-0.291382,0.000000,-2.868787,0.422000,0.819704,1780833131.250604
1780833131.536700,odom,1.868706,-0.290469,0.000000,-2.869817,0.422011,0.810010,1780833131.351124
1780833131.636557,odom,1.867575,-0.291413,0.000000,-2.870299,0.475218,,1780833131.451065
1780833131.736527,odom,1.867372,-0.291608,0.000000,-2.871284,0.482756,,1780833131.550610
1780833131.836570,odom,1.867641,-0.291401,0.000000,-2.871881,0.444703,0.838824,1780833131.651140
1780833131.936568,odom,1.868351,-0.290847,0.000000,-2.872877,0.467239,0.826136,1780833131.750426
1780833132.036598,odom,1.867602,-0.291474,0.000000,-2.873411,0.465520,0.816216,1780833131.851602
1780833132.136485,odom,1.868767,-0.290554,0.000000,-2.874439,0.492318,0.820947,1780833131.951140
1780833132.236522,odom,1.867639,-0.291487,0.000000,-2.874903,0.478026,0.815462,1780833132.051068
1780833132.336517,odom,1.868803,-0.290573,0.000000,-2.875925,0.453000,0.831265,1780833132.151161
1780833132.436532,odom,1.867651,-0.291524,0.000000,-2.876446,0.491044,0.822247,1780833132.251071
1780833132.536518,odom,1.868835,-0.290592,0.000000,-2.877375,0.448001,0.824637,1780833132.351065
1780833132.636527,odom,1.867679,-0.291539,0.000000,-2.877774,0.459000,0.821270,1780833132.450626
1780833132.736612,odom,1.868797,-0.290646,0.000000,-2.878625,0.434038,0.829479,1780833132.551329
1780833132.836523,odom,1.867643,-0.291575,0.000000,-2.878905,0.484929,0.838543,1780833132.651019
1780833132.936502,odom,1.868814,-0.290597,0.000000,-2.879076,0.484929,0.838543,1780833132.651019
1780833133.036534,odom,1.867666,-0.291520,0.000000,-2.878858,0.484929,0.838543,1780833132.651019
1780833133.136539,odom,1.868831,-0.290575,0.000000,-2.878698,0.464175,,1780833132.951030
1780833133.236583,odom,1.867695,-0.291503,0.000000,-2.878520,0.456530,0.815724,1780833133.050694
1780833133.336513,odom,1.868831,-0.290603,0.000000,-2.878538,0.504670,,1780833133.151246
1780833133.436517,odom,1.867694,-0.291535,0.000000,-2.878581,0.451359,,1780833133.251008
1780833133.536473,odom,1.868870,-0.290607,0.000000,-2.879022,0.485751,0.804941,1780833133.351106
1780833133.636536,odom,1.867675,-0.291582,0.000000,-2.879383,0.459001,0.834060,1780833133.451066
1780833133.736524,odom,1.868851,-0.290656,0.000000,-2.880163,0.460185,0.835326,1780833133.551250
1780833133.836523,odom,1.867681,-0.291609,0.000000,-2.880617,0.494037,0.831366,1780833133.652888
1780833133.936514,odom,1.870471,-0.290217,0.000000,-2.881329,0.442005,0.820586,1780833133.752964
1780833134.036530,odom,1.870210,-0.290897,0.000000,-2.881898,0.477507,0.819793,1780833133.851018
1780833134.136631,odom,1.872401,-0.289655,0.000000,-2.883956,0.477340,0.845856,1780833133.951675
1780833134.236957,odom,1.871622,-0.290481,0.000000,-2.885513,0.464069,0.845100,1780833134.052783
1780833134.336522,odom,1.873529,-0.289483,0.000000,-2.888591,0.472382,0.818174,1780833134.151226
1780833134.436536,odom,1.874093,-0.290000,0.000000,-2.891575,0.451868,0.812977,1780833134.251139
1780833134.536519,odom,1.880368,-0.287823,0.000000,-2.896803,0.460489,0.819191,1780833134.351455
1780833134.636524,odom,1.884000,-0.287394,0.000000,-2.900514,0.459736,0.839939,1780833134.451210
1780833134.736474,odom,1.895120,-0.283879,0.000000,-2.905961,0.420001,0.819591,1780833134.551698
1780833134.836529,odom,1.901422,-0.282694,0.000000,-2.909949,0.378826,,1780833134.651054
1780833134.936515,odom,1.916841,-0.278598,0.000000,-2.919379,0.451249,0.791905,1780833134.751216
1780833135.036531,odom,1.926375,-0.276557,0.000000,-2.922977,0.489065,0.808520,1780833134.851089
1780833135.136506,odom,1.947342,-0.270643,0.000000,-2.925521,0.423011,0.800465,1780833134.951049
1780833135.236529,odom,1.960129,-0.267398,0.000000,-2.922600,0.434115,0.800071,1780833135.051018
1780833135.336523,odom,1.986336,-0.259636,0.000000,-2.916602,0.505573,0.793567,1780833135.151148
1780833135.436523,odom,2.001982,-0.255361,0.000000,-2.907180,0.384005,0.772001,1780833135.251175
1780833135.536525,odom,2.032669,-0.246027,0.000000,-2.886029,0.423170,0.767305,1780833135.351022
1780833135.636565,odom,2.049852,-0.240711,0.000000,-2.865226,0.446004,0.797467,1780833135.451095
1780833135.736518,odom,2.083284,-0.229349,0.000000,-2.824554,0.485906,0.758924,1780833135.551059
1780833135.836531,odom,2.101828,-0.222477,0.000000,-2.790165,0.489911,0.765517,1780833135.651233
1780833135.936604,odom,2.137994,-0.208524,0.000000,-2.734648,0.493705,0.776137,1780833135.751078
1780833136.036695,odom,2.156873,-0.200417,0.000000,-2.696407,0.480133,0.815971,1780833135.851027
1780833136.136470,odom,2.193564,-0.184285,0.000000,-2.644126,0.491314,0.775549,1780833135.951185
1780833136.236537,odom,2.211831,-0.175086,0.000000,-2.611957,0.507777,0.819329,1780833136.051101
1780833136.336516,odom,2.248016,-0.156883,0.000000,-2.571623,0.581739,0.810394,1780833136.151074
1780833136.436530,odom,2.265307,-0.146876,0.000000,-2.547659,0.608033,0.830768,1780833136.251170
1780833136.536593,odom,2.300617,-0.126916,0.000000,-2.517173,2.015814,0.823248,1780833136.351221
1780833136.636952,odom,2.316738,-0.116265,0.000000,-2.498080,1.997805,0.849764,1780833136.452693
1780833136.736544,odom,2.350338,-0.094899,0.000000,-2.473464,1.981459,0.879762,1780833136.551183
1780833136.836524,odom,2.365134,-0.083565,0.000000,-2.457701,1.963135,0.903640,1780833136.651080
1780833136.936526,odom,2.396677,-0.060958,0.000000,-2.437583,1.944130,0.915874,1780833136.751338
1780833137.036594,odom,2.410074,-0.049066,0.000000,-2.423293,1.918176,0.941442,1780833136.851188
1780833137.136538,odom,2.439773,-0.024847,0.000000,-2.404788,1.900063,0.951278,1780833136.951134
1780833137.236535,odom,2.451836,-0.011968,0.000000,-2.391033,1.882256,1.008275,1780833137.051068
1780833137.336531,odom,2.479679,0.014530,0.000000,-2.373019,1.855097,0.976344,1780833137.151160
1780833137.436524,odom,2.490732,0.028255,0.000000,-2.360625,1.832382,1.067431,1780833137.251070
1780833137.536465,odom,2.516210,0.056001,0.000000,-2.345090,1.805886,1.092029,1780833137.351053
1780833137.636528,odom,2.525496,0.069851,0.000000,-2.334471,1.784150,1.095694,1780833137.451192
1780833137.736567,odom,2.548492,0.098429,0.000000,-2.320358,1.761604,1.103784,1780833137.551099
1780833137.836533,odom,2.556493,0.112447,0.000000,-2.309840,1.742386,1.064406,1780833137.651334
1780833137.936518,odom,2.577497,0.141497,0.000000,-2.295997,1.742386,1.064406,1780833137.651334
1780833138.036572,odom,2.584374,0.155441,0.000000,-2.285683,1.742386,1.064406,1780833137.651334
1780833138.136524,odom,2.603561,0.184525,0.000000,-2.271843,1.676651,1.131506,1780833137.950999
1780833138.236591,odom,2.609463,0.198369,0.000000,-2.261326,1.662740,0.960616,1780833138.051166
1780833138.336529,odom,2.627281,0.228046,0.000000,-2.246769,1.662740,0.960616,1780833138.051166
1780833138.436525,odom,2.632364,0.242188,0.000000,-2.236132,1.662740,0.960616,1780833138.051166
1780833138.536498,odom,2.648616,0.272318,0.000000,-2.221604,1.624280,0.871737,1780833138.351151
1780833138.636587,odom,2.653066,0.286860,0.000000,-2.210983,1.595681,0.857460,1780833138.451538
1780833138.736442,odom,2.668429,0.318393,0.000000,-2.195533,1.596126,0.825557,1780833138.550972
1780833138.836522,odom,2.672274,0.334012,0.000000,-2.184103,1.572421,0.854462,1780833138.651166
1780833138.936534,odom,2.686469,0.366719,0.000000,-2.168008,1.571069,0.765063,1780833138.751061
1780833139.036524,odom,2.689406,0.382830,0.000000,-2.156457,1.550937,0.758517,1780833138.851976
1780833139.136490,odom,2.702054,0.417463,0.000000,-2.138578,1.549157,0.834907,1780833138.951170
1780833139.236525,odom,2.704109,0.435249,0.000000,-2.125133,1.536205,0.731390,1780833139.051059
1780833139.336608,odom,2.714697,0.472945,0.000000,-2.103258,1.519222,0.866453,1780833139.150985
1780833139.436592,odom,2.715156,0.491993,0.000000,-2.087494,1.513382,0.850059,1780833139.251157
1780833139.536570,odom,2.723050,0.531102,0.000000,-2.062759,1.516961,0.742744,1780833139.351137
1780833139.636604,odom,2.721878,0.550670,0.000000,-2.044954,1.517413,0.808327,1780833139.451882
1780833139.736642,odom,2.726567,0.591694,0.000000,-2.015712,1.512476,0.771078,1780833139.551134
1780833139.836667,odom,2.723636,0.612279,0.000000,-1.995014,1.501848,0.646296,1780833139.651034
1780833139.936480,odom,2.725043,0.654014,0.000000,-1.961832,1.491128,0.792582,1780833139.751032
1780833140.036653,odom,2.720508,0.673606,0.000000,-1.939493,1.535301,,1780833139.851146
1780833140.136564,odom,2.718619,0.714609,0.000000,-1.903462,1.542901,,1780833139.951059
1780833140.236598,odom,2.694630,0.743887,0.000000,-1.517308,1.560776,,1780833140.050965
1780833140.336546,odom,2.686724,0.784643,0.000000,-1.464660,1.604625,0.786898,1780833140.151148
1780833140.436592,odom,2.679556,0.803611,0.000000,-1.438580,1.607319,0.789028,1780833140.250469
1780833140.536826,odom,2.667559,0.845881,0.000000,-1.385982,1.644416,0.877069,1780833140.351933
1780833140.636848,odom,2.658567,0.865970,0.000000,-1.358237,1.627871,0.808006,1780833140.451132
1780833140.736656,odom,2.642420,0.909389,0.000000,-1.300871,1.695834,0.833787,1780833140.551034
1780833140.836785,odom,2.631487,0.929415,0.000000,-1.270576,1.695834,0.833787,1780833140.551034
1780833140.936661,odom,2.610792,0.972285,0.000000,-1.209970,1.695834,0.833787,1780833140.551034
1780833141.036622,odom,2.598145,0.991417,0.000000,-1.178133,1.907387,0.982603,1780833140.851058
1780833141.136572,odom,2.573569,1.032136,0.000000,-1.109867,1.990999,1.122626,1780833140.951932
