time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
1780834673.357608,odom,1.651078,-0.287674,0.000000,-0.719796,0.492687,0.829752,1780834673.250681
1780834673.457676,odom,1.650670,-0.287524,0.000000,-0.720102,0.444221,0.845106,1780834673.350672
1780834673.557615,odom,1.651048,-0.287657,0.000000,-0.720765,0.461911,0.836800,1780834673.450575
1780834673.657521,odom,1.650651,-0.287509,0.000000,-0.721089,0.497326,0.819336,1780834673.550674
1780834673.757484,odom,1.651020,-0.287635,0.000000,-0.721741,0.444703,0.853456,1780834673.650755
1780834673.857598,odom,1.650641,-0.287490,0.000000,-0.722080,0.481204,0.855716,1780834673.750596
1780834673.957668,odom,1.651048,-0.287625,0.000000,-0.722756,0.494016,0.839615,1780834673.850722
1780834674.057532,odom,1.650660,-0.287474,0.000000,-0.723156,0.444946,0.828812,1780834673.950704
1780834674.157593,odom,1.651058,-0.287602,0.000000,-0.723933,0.421523,0.828877,1780834674.050834
1780834674.257890,odom,1.650684,-0.287453,0.000000,-0.724328,0.449752,0.823821,1780834674.150729
1780834674.357582,odom,1.651085,-0.287578,0.000000,-0.725119,0.502288,0.839574,1780834674.250646
1780834674.457559,odom,1.650700,-0.287425,0.000000,-0.725521,0.472086,0.797608,1780834674.350618
1780834674.557496,odom,1.651105,-0.287553,0.000000,-0.726261,0.440368,0.831655,1780834674.450773
1780834674.657510,odom,1.650711,-0.287397,0.000000,-0.726564,0.501367,,1780834674.550660
1780834674.757646,odom,1.651102,-0.287525,0.000000,-0.727206,0.475606,0.823821,1780834674.650618
1780834674.857516,odom,1.650742,-0.287383,0.000000,-0.727553,0.464130,0.815282,1780834674.750693
1780834674.957514,odom,1.651156,-0.287516,0.000000,-0.728199,0.476145,0.835225,1780834674.850651
1780834675.057563,odom,1.650772,-0.287361,0.000000,-0.728655,0.477285,0.829352,1780834674.950601
1780834675.157500,odom,1.651182,-0.287493,0.000000,-0.729478,0.443884,0.808377,1780834675.050741
1780834675.257558,odom,1.650785,-0.287334,0.000000,-0.729900,0.458981,0.776418,1780834675.150659
1780834675.357571,odom,1.651180,-0.287461,0.000000,-0.730616,0.489326,0.814037,1780834675.250596
1780834675.457495,odom,1.650808,-0.287309,0.000000,-0.731049,0.444648,0.851954,1780834675.350791
1780834675.557492,odom,1.651198,-0.287431,0.000000,-0.731836,0.481416,0.821298,1780834675.450716
1780834675.657601,odom,1.650812,-0.287274,0.000000,-0.732334,0.492492,0.848517,1780834675.550598
1780834675.757498,odom,1.651213,-0.287403,0.000000,-0.733071,0.480026,0.824040,1780834675.650783
1780834675.857560,odom,1.650832,-0.287248,0.000000,-0.733423,0.432612,,1780834675.750695
1780834675.957498,odom,1.651248,-0.287385,0.000000,-0.734239,0.488230,0.811311,1780834675.850602
1780834676.057743,odom,1.650875,-0.287234,0.000000,-0.734648,0.478357,,1780834675.950743
1780834676.157938,odom,1.651275,-0.287363,0.000000,-0.735443,0.486409,0.824087,1780834676.050782
1780834676.257488,odom,1.650893,-0.287204,0.000000,-0.735877,0.444595,0.815421,1780834676.150612
1780834676.357496,odom,1.651290,-0.287339,0.000000,-0.736739,0.444055,0.823176,1780834676.250717
1780834676.457520,odom,1.650907,-0.287184,0.000000,-0.737084,0.488803,0.816084,1780834676.350709
1780834676.557527,odom,1.651305,-0.287324,0.000000,-0.737898,0.444496,0.840372,1780834676.450679
1780834676.657498,odom,1.650931,-0.287170,0.000000,-0.738362,0.406044,0.827073,1780834676.550813
1780834676.757507,odom,1.651303,-0.287292,0.000000,-0.739130,0.482125,0.815414,1780834676.650746
1780834676.857483,odom,1.650933,-0.287138,0.000000,-0.739527,0.450640,0.845319,1780834676.750620
1780834676.957492,odom,1.651344,-0.287275,0.000000,-0.740422,0.476001,0.831363,1780834676.850751
1780834677.057510,odom,1.650948,-0.287110,0.000000,-0.740871,0.444091,0.827815,1780834676.950749
1780834677.157496,odom,1.651342,-0.287241,0.000000,-0.741712,0.439602,0.875977,1780834677.050624
1780834677.257694,odom,1.650969,-0.287083,0.000000,-0.742209,0.439602,0.875977,1780834677.050624
1780834677.357956,odom,1.651325,-0.287193,0.000000,-0.742997,0.439602,0.875977,1780834677.050624
1780834677.457690,odom,1.650966,-0.287038,0.000000,-0.743415,0.439602,0.875977,1780834677.050624
1780834677.557653,odom,1.651391,-0.287180,0.000000,-0.744276,0.439602,0.875977,1780834677.050624
1780834677.657670,odom,1.651002,-0.287016,0.000000,-0.744636,0.439602,0.875977,1780834677.050624
1780834677.757632,odom,1.651395,-0.287152,0.000000,-0.745468,0.439602,0.875977,1780834677.050624
