time_sec,frame_id,x,y,z,yaw_rad,left_wall_m,right_wall_m,scan_stamp_sec
1780840262.354246,map,-0.028211,-0.001632,0.000000,0.003422,0.483860,0.821497,1780840262.240229
1780840262.454232,map,-0.028031,-0.001353,0.000000,0.003494,0.477051,0.818506,1780840262.340189
1780840262.554250,map,-0.028431,-0.001278,0.000000,0.003512,0.477051,0.818506,1780840262.340189
1780840262.654269,map,-0.028431,-0.001278,0.000000,0.003512,0.477051,0.818506,1780840262.340189
1780840262.754261,map,-0.028431,-0.001278,0.000000,0.003512,0.477051,0.818506,1780840262.340189
1780840262.854193,map,-0.028431,-0.001278,0.000000,0.003512,0.477051,0.818506,1780840262.340189
1780840262.954146,map,-0.028431,-0.001278,0.000000,0.003512,0.477051,0.818506,1780840262.340189
1780840263.054184,map,-0.028431,-0.001278,0.000000,0.003512,0.477051,0.818506,1780840262.340189
1780840263.154170,map,-0.028431,-0.001278,0.000000,0.003512,0.477051,0.818506,1780840262.340189
1780840263.254192,map,-0.028674,-0.001285,0.000000,0.003530,0.481001,0.823231,1780840263.140234
1780840263.354283,map,-0.028680,-0.001307,0.000000,0.003534,0.476127,0.817157,1780840263.240171
1780840263.454309,map,-0.028534,-0.001507,0.000000,0.003530,0.486815,,1780840263.340123
1780840263.554353,map,-0.028803,-0.001708,0.000000,0.003523,0.505301,0.828689,1780840263.440236
1780840263.654165,map,-0.028392,-0.001540,0.000000,0.003504,0.484654,0.811975,1780840263.540170
1780840263.754186,map,-0.028376,-0.001533,0.000000,0.003504,0.484654,0.811975,1780840263.540170
1780840263.854376,map,-0.028376,-0.001533,0.000000,0.003504,0.484654,0.811975,1780840263.540170
1780840263.954284,map,-0.028332,-0.001559,0.000000,0.003504,0.474152,0.814249,1780840263.840132
1780840264.054163,map,-0.027898,-0.001548,0.000000,0.003526,0.472179,0.852059,1780840263.940098
1780840264.154169,map,-0.027975,-0.001598,0.000000,0.003495,0.496049,0.802213,1780840264.040183
1780840264.254168,map,-0.028217,-0.001639,0.000000,0.003509,0.474085,0.830470,1780840264.140158
1780840264.354277,map,-0.028181,-0.001594,0.000000,0.003535,0.485819,0.817509,1780840264.240085
1780840264.454217,map,-0.028347,-0.001419,0.000000,0.003625,0.492123,0.809302,1780840264.340246
1780840264.554248,map,-0.028503,-0.001540,0.000000,0.003598,0.486103,0.825136,1780840264.440148
1780840264.654197,map,-0.028430,-0.001549,0.000000,0.003598,0.481834,0.826180,1780840264.540104
1780840264.754205,map,-0.028586,-0.001526,0.000000,0.003599,0.487463,0.830578,1780840264.640193
1780840264.854198,map,-0.028589,-0.001526,0.000000,0.003600,0.487463,0.830578,1780840264.640193
1780840264.954225,map,-0.028589,-0.001526,0.000000,0.003600,0.487463,0.830578,1780840264.640193
1780840265.054178,map,-0.020015,-0.001559,0.000000,0.003606,0.477938,0.818077,1780840264.940203
1780840265.154180,map,-0.008880,-0.001657,0.000000,0.003619,0.477938,0.818077,1780840264.940203
1780840265.254179,map,0.011178,-0.001584,0.000000,0.003619,0.477938,0.818077,1780840264.940203
1780840265.354211,map,0.017186,-0.001903,0.000000,0.003654,0.494620,0.798564,1780840265.240190
1780840265.454185,map,0.064753,-0.001754,0.000000,0.007526,0.494620,0.798564,1780840265.240190
1780840265.554198,map,0.111634,-0.001606,0.000000,0.020155,0.494620,0.798564,1780840265.240190
1780840265.654417,map,0.158330,-0.000996,0.000000,0.038323,0.494620,0.798564,1780840265.240190
1780840265.754164,map,0.120919,-0.002969,0.000000,0.026263,0.488808,0.794816,1780840265.640083
1780840265.854177,map,0.173424,-0.000924,0.000000,0.053012,0.488808,0.794816,1780840265.640083
1780840265.954200,map,0.226829,0.002481,0.000000,0.080869,0.488808,0.794816,1780840265.640083
1780840266.054196,map,0.214987,0.000638,0.000000,0.059939,0.456741,0.788462,1780840265.940098
1780840266.154186,map,0.235528,0.000917,0.000000,0.067020,0.467788,0.809475,1780840266.040031
1780840266.254211,map,0.287058,0.005021,0.000000,0.093620,0.454960,0.803723,1780840266.140163
1780840266.354171,map,0.295066,0.005280,0.000000,0.099296,0.465580,0.810672,1780840266.240103
1780840266.454220,map,0.355427,0.012286,0.000000,0.132088,0.465580,0.810672,1780840266.240103
1780840266.554343,map,0.413621,0.020837,0.000000,0.164543,0.465580,0.810672,1780840266.240103
1780840266.654330,map,0.467228,0.030388,0.000000,0.195360,1.997286,0.847119,1780840266.540161
1780840266.754433,map,0.438577,0.025052,0.000000,0.180342,1.985151,0.841999,1780840266.640015
1780840266.854270,map,0.463288,0.030326,0.000000,0.199582,1.967672,0.867620,1780840266.740159
1780840266.954567,map,0.500112,0.038464,0.000000,0.228623,1.951321,0.865629,1780840266.840074
1780840267.054267,map,0.526160,0.045779,0.000000,0.252522,1.951321,0.865629,1780840266.840074
1780840267.154299,map,0.579042,0.060421,0.000000,0.296705,1.951321,0.865629,1780840266.840074
1780840267.254370,map,0.578647,0.060602,0.000000,0.296289,1.891433,0.916428,1780840267.140057
1780840267.354201,map,0.577202,0.061004,0.000000,0.296945,1.867030,0.949887,1780840267.240013
1780840267.454392,map,0.633496,0.079717,0.000000,0.346447,1.867030,0.949887,1780840267.240013
1780840267.554276,map,0.686997,0.100267,0.000000,0.395241,1.867030,0.949887,1780840267.240013
1780840267.654238,map,0.736913,0.122538,0.000000,0.442078,1.783186,1.059234,1780840267.540024
1780840267.754194,map,0.711888,0.110779,0.000000,0.414575,1.783186,1.059234,1780840267.540024
1780840267.854199,map,0.765385,0.135511,0.000000,0.463423,1.783186,1.059234,1780840267.540024
1780840267.954201,map,0.740336,0.122832,0.000000,0.441808,1.715066,1.134816,1780840267.840003
1780840268.054200,map,0.793268,0.150385,0.000000,0.491409,1.715066,1.134816,1780840267.840003
1780840268.154204,map,0.843758,0.178764,0.000000,0.540481,1.715066,1.134816,1780840267.840003
1780840268.254208,map,0.818021,0.163320,0.000000,0.514749,1.645309,1.047615,1780840268.140054
1780840268.354270,map,0.866194,0.192766,0.000000,0.562977,1.645309,1.047615,1780840268.140054
1780840268.454167,map,0.913518,0.224010,0.000000,0.611444,1.645309,1.047615,1780840268.140054
1780840268.554207,map,0.890629,0.208314,0.000000,0.588427,1.587272,1.109887,1780840268.440003
1780840268.654164,map,0.937050,0.241855,0.000000,0.636954,1.587272,1.109887,1780840268.440003
1780840268.754202,map,0.979059,0.274330,0.000000,0.682849,1.587272,1.109887,1780840268.440003
1780840268.854179,map,1.008369,0.299412,0.000000,0.716553,1.551384,0.969959,1780840268.739979
1780840268.954183,map,0.993515,0.287371,0.000000,0.701167,1.551384,0.969959,1780840268.739979
1780840269.054349,map,1.032576,0.321572,0.000000,0.745405,1.551384,0.969959,1780840268.739979
1780840269.154492,map,1.070834,0.357937,0.000000,0.790206,1.551384,0.969959,1780840268.739979
1780840269.254265,map,1.107894,0.396477,0.000000,0.836693,1.551384,0.969959,1780840268.739979
1780840269.354477,map,1.075744,0.362136,0.000000,0.803394,1.507560,0.757983,1780840269.240038
1780840269.454372,map,1.072175,0.360091,0.000000,0.805363,1.519201,0.848100,1780840269.339955
1780840269.554234,map,1.091638,0.380732,0.000000,0.832641,1.505774,0.797226,1780840269.440053
