# 642e606c-5253-4588-a72a-e22e4b349b72
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.2916457; 0.9980082; 0.0625025; 0.1648511; 3.4424874; -0.1863261
0.0986789; 1.2833259; 1.0946315; 0.1210748; 0.8805479; 3.4371422; -0.0394272
0.1973577; 1.2675917; 1.1888789; 0.2121187; 1.0159357; 3.4360101; -0.0337129
0.2960366; 1.2410692; 1.2868360; 0.3168154; 1.0169912; 3.4350418; -0.0337129
0.3947155; 1.2064979; 1.3772579; 0.4129815; 0.9804440; 3.4340732; 0.4040691
0.4933944; 1.1614806; 1.4675613; 0.5117784; 0.9648077; 3.4456646; 0.5112979
0.5920732; 1.1098082; 1.5502890; 0.6045596; 0.9460433; 3.4602765; 0.6383277
0.6907521; 1.0485323; 1.6304621; 0.7009993; 0.9625081; 3.4784324; 0.3195710
0.7894310; 0.9822555; 1.7019511; 0.7939667; 0.9501547; 3.4874865; 0.4089344
0.8881099; 0.9079575; 1.7683436; 0.8894229; 0.9698219; 3.4990382; 0.0912298
0.9867887; 0.8285802; 1.8266387; 0.9850521; 0.9624317; 3.5016101; 0.1643304
1.0854676; 0.7438150; 1.8772597; 1.0797846; 0.9591448; 3.5062380; 0.1734321
1.1841465; 0.6543418; 1.9197481; 1.1751381; 0.9546432; 3.5111157; 0.1959995
1.2828254; 0.5618213; 1.9534445; 1.2673377; 0.9199576; 3.5166199; 0.5879050
1.3815042; 0.4661992; 1.9787115; 1.3572693; 0.9005901; 3.5330784; 0.7225909
1.4801831; 0.3689148; 1.9953752; 1.4441776; 0.8532033; 3.5532030; 1.1920207
1.5788620; 0.2705788; 2.0037859; 1.5259981; 0.8064031; 3.5861548; 1.5925030
1.6775408; 0.1717487; 2.0043366; 1.6037349; 0.7587781; 3.6297106; 1.9656092
1.7762197; 0.0729521; 1.9974774; 1.6753367; 0.6888984; 3.6827608; 2.6179083
1.8748986; -0.0244330; 1.9840095; 1.7401687; 0.6319115; 3.7522516; 3.0628429
1.9735775; -0.1219805; 1.9642324; 1.8007285; 0.5857790; 3.8319535; 3.3565453
2.0722563; -0.2173028; 1.9390676; 1.8563928; 0.5439315; 3.9174364; 3.3122197
2.1709352; -0.3110123; 1.9088660; 1.9083579; 0.5219005; 4.0000000; -3.1991034
2.2696141; -0.4037788; 1.8735743; 1.9603437; 0.5251391; 3.9202847; -3.9340993
2.3682930; -0.4929480; 1.8342702; 2.0116007; 0.5295877; 3.8199748; -3.9918767
2.4669718; -0.5819888; 1.7892540; 2.0670629; 0.5829718; 3.7154245; -3.6593419
2.5656507; -0.6664775; 1.7402423; 2.1267805; 0.6404159; 3.6169296; -3.3171077
2.6643296; -0.7492668; 1.6849476; 2.1935252; 0.7015396; 3.5252692; -2.8585539
2.7630085; -0.8267560; 1.6250290; 2.2656738; 0.7734181; 3.4443236; -2.6132151
2.8616873; -0.9005342; 1.5584170; 2.3455887; 0.8300596; 3.3686239; -2.2837767
2.9603662; -0.9676146; 1.4870381; 2.4299238; 0.8945069; 3.3010462; -2.1526857
3.0590451; -1.0291069; 1.4088109; 2.5216121; 0.9431991; 3.2360557; -1.8927250
3.1577239; -1.0820221; 1.3268094; 2.6164345; 1.0037248; 3.1778157; -1.7971241
3.2564028; -1.1276249; 1.2379586; 2.7190758; 1.0499679; 3.1215119; -1.4986430
3.3550817; -1.1629210; 1.1470520; 2.8244693; 1.1143391; 3.0737709; -0.9769203
3.4537606; -1.1885494; 1.0508687; 2.9392259; 1.1938635; 3.0422467; -0.3103867
3.5524394; -1.2024793; 0.9534884; 3.0611503; 1.2742954; 3.0321622; -0.0262538
3.6511183; -1.2041890; 0.8558762; -3.0956606; 1.3059339; 3.0313077; -0.0262538
3.7497972; -1.1934866; 0.7577824; -2.9728325; 1.1482990; 3.0304529; 1.4281903
