# x_m,y_m,w_tr_right_m,w_tr_left_m
1.406459,0.994305,0.250000,0.250000
1.375215,1.140915,0.375000,0.375000
1.325968,1.282499,0.350000,0.350000
1.259624,1.416921,0.350000,0.350000
1.176913,1.541934,0.350848,0.350848
1.078407,1.654899,0.386267,0.386267
0.964917,1.752760,0.431293,0.431293
0.837439,1.831467,0.542748,0.542748
0.697982,1.886060,0.471792,0.471792
0.550362,1.910899,0.424392,0.424392
0.400973,1.901825,0.443030,0.443030
0.256755,1.861362,0.788201,0.788201
0.117890,1.804676,1.005963,1.005963
-0.024231,1.757087,0.650000,0.650000
-0.171420,1.728516,0.600000,0.600000
-0.319942,1.707520,0.325000,0.325000
-0.468036,1.683751,0.300000,0.300000
-0.614568,1.651816,0.325000,0.325000
-0.758212,1.608773,0.350000,0.350000
-0.897226,1.552595,0.450000,0.450000
-1.029348,1.481760,0.470286,0.470286
-1.151570,1.395004,0.625000,0.625000
-1.259825,1.291399,0.568949,0.568949
-1.348716,1.170839,0.485115,0.485115
-1.411660,1.035008,0.423089,0.423089
-1.442053,0.888502,0.389299,0.389299
-1.435433,0.739059,0.388456,0.388456
-1.392139,0.595835,0.421741,0.421741
-1.317272,0.466196,0.476856,0.476856
-1.218030,0.354004,0.550000,0.550000
-1.101366,0.259953,0.602251,0.602251
-0.972666,0.183103,0.700000,0.700000
-0.835943,0.121575,0.650000,0.650000
-0.693981,0.073277,0.624820,0.624820
-0.548683,0.036134,0.525000,0.525000
-0.401385,0.007889,0.475000,0.475000
-0.252944,-0.013615,0.415557,0.415557
-0.103892,-0.030412,0.398454,0.398454
0.045482,-0.044078,0.375000,0.375000
0.195067,-0.055200,0.308457,0.308457
0.344873,-0.062699,0.250000,0.250000
0.494849,-0.063539,0.220000,0.220000
0.644422,-0.052991,0.220000,0.220000
0.791802,-0.025681,0.220000,0.220000
0.933437,0.023174,0.220000,0.220000
1.064190,0.096220,0.450000,0.450000
1.178555,0.192903,0.500975,0.500975
1.272122,0.309846,0.475000,0.475000
1.342684,0.441980,0.378734,0.378734
1.389881,0.584184,0.425044,0.425044
1.414296,0.732042,0.350000,0.350000
1.417373,0.881885,0.300000,0.300000
