# 9c428288-0a2a-4a75-9fdd-a5b015be2c4a
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.9423314; 0.8846715; -0.3909244; 1.4305427; 1.8795611; 5.2899064
0.0998069; 0.9710340; 0.9716238; -0.2443363; 1.6312283; 2.1421223; 4.5016920
0.1996137; 0.9877047; 1.0730554; -0.0866636; 1.3408946; 2.3424960; 4.6264479
0.2994206; 0.9900872; 1.1725319; 0.0360658; 1.1723428; 2.5319538; 4.4660399
0.3992274; 0.9801012; 1.2756375; 0.1568521; 1.1497443; 2.7022718; 3.5833901
0.4990343; 0.9592806; 1.3719038; 0.2689863; 1.1391657; 2.8315308; 2.8437560
0.5988412; 0.9264986; 1.4683207; 0.3874551; 1.1952766; 2.9300545; 1.7137593
0.6986480; 0.8835209; 1.5579295; 0.5066436; 1.1888975; 2.9878603; 1.3608380
0.7984549; 0.8299848; 1.6421921; 0.6255006; 1.1966535; 3.0329773; 0.9657602
0.8982618; 0.7663026; 1.7199510; 0.7474348; 1.2176868; 3.0645930; 0.5369807
0.9980686; 0.6947221; 1.7885345; 0.8651381; 1.1584820; 3.0820316; 0.9685336
1.0978755; 0.6150181; 1.8489332; 0.9788378; 1.1174464; 3.1132381; 1.1417368
1.1976823; 0.5290792; 1.9000511; 1.0886668; 1.0599256; 3.1496282; 1.4570277
1.2974892; 0.4386535; 1.9416279; 1.1894734; 0.9682634; 3.1954656; 2.0838873
1.3972961; 0.3440888; 1.9744542; 1.2827090; 0.8977298; 3.2599038; 2.4294873
1.4971029; 0.2470184; 1.9986469; 1.3689897; 0.8166220; 3.3334565; 2.8940036
1.5969098; 0.1484572; 2.0148131; 1.4459368; 0.7255648; 3.4190079; 3.4850277
1.6967166; 0.0491488; 2.0237800; 1.5142385; 0.6461863; 3.5192718; 3.9614191
1.7965235; -0.0511197; 2.0263255; 1.5753361; 0.5713843; 3.6298799; 4.4337793
1.8963304; -0.1509738; 2.0231455; 1.6286830; 0.4966368; 3.7498095; 4.9765800
1.9961372; -0.2497856; 2.0150945; 1.6743086; 0.4267867; 3.8800083; -1.4217182
2.0959441; -0.3495005; 2.0024685; 1.7201797; 0.4860504; 3.8432630; -4.4830611
2.1957510; -0.4475787; 1.9851712; 1.7715188; 0.5445877; 3.7250221; -4.1078704
2.2955578; -0.5444342; 1.9626203; 1.8285922; 0.6073493; 3.6132814; -3.5231381
2.3953647; -0.6403241; 1.9340555; 1.8934076; 0.6891018; 3.5146174; -2.9062252
2.4951715; -0.7335319; 1.8991495; 1.9662750; 0.7753219; 3.4310950; -2.5056197
