# x_m,y_m,w_tr_right_m,w_tr_left_m
1.092949,1.024670,0.3,0.3
1.080489,1.174038,0.3,0.3
1.047384,1.320199,0.3,0.3
0.991835,1.459350,0.3,0.3
0.912504,1.586386,0.3,0.3
0.809405,1.694941,0.3,0.3
0.685171,1.778427,0.3,0.3
0.545620,1.832640,0.3,0.3
0.398077,1.858595,0.3,0.3
0.248229,1.863588,0.3,0.3
0.098301,1.859108,0.3,0.3
-0.051594,1.853485,0.3,0.3
-0.201359,1.845249,0.3,0.3
-0.350420,1.828786,0.3,0.3
-0.497688,1.800534,0.3,0.3
-0.641794,1.759097,0.3,0.3
-0.781361,1.704289,0.3,0.3
-0.914944,1.636193,0.3,0.3
-1.041048,1.555091,0.3,0.3
-1.157835,1.461084,0.3,0.3
-1.263094,1.354348,0.3,0.3
-1.353688,1.234947,0.3,0.3
-1.425623,1.103510,0.3,0.3
-1.473267,0.961521,0.3,0.3
-1.489919,0.812785,0.3,0.3
-1.469894,0.664562,0.3,0.3
-1.411821,0.526742,0.3,0.3
-1.321232,0.407636,0.3,0.3
-1.207168,0.310593,0.3,0.3
-1.077996,0.234636,0.3,0.3
-0.939682,0.176831,0.3,0.3
-0.795919,0.134226,0.3,0.3
-0.649041,0.103969,0.3,0.3
-0.500431,0.083768,0.3,0.3
-0.350932,0.071701,0.3,0.3
-0.201049,0.066014,0.3,0.3
-0.051056,0.065242,0.3,0.3
0.098909,0.068294,0.3,0.3
0.248752,0.075044,0.3,0.3
0.398159,0.088099,0.3,0.3
0.545481,0.115640,0.3,0.3
0.684737,0.170458,0.3,0.3
0.806094,0.257946,0.3,0.3
0.904354,0.370921,0.3,0.3
0.980245,0.500106,0.3,0.3
1.035854,0.639284,0.3,0.3
1.072624,0.784602,0.3,0.3
1.090911,0.933384,0.3,0.3
