# ef72ffda-be5f-46e4-8c7c-e1005b64278c
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.1678222; 0.6664853; -0.1799661; -0.4357130; 3.8456720; -5.2840989
0.0998226; 1.1863079; 0.7627707; -0.1883950; 0.2270240; 3.7059746; -4.5317443
0.1996453; 1.2029573; 0.8595175; -0.1466491; 0.5849727; 3.5818301; -2.5277387
0.2994679; 1.2145553; 0.9620248; -0.0754941; 0.7714066; 3.5106774; -1.8847421
0.3992905; 1.2181266; 1.0588565; 0.0030246; 0.8494231; 3.4566712; -1.2522912
0.4991131; 1.2132261; 1.1610340; 0.0942014; 0.9215777; 3.4203161; -1.2061742
0.5989358; 1.1995678; 1.2584026; 0.1845566; 0.9229671; 3.3849306; -1.2801702
0.6987584; 1.1761947; 1.3573309; 0.2801142; 0.9597990; 3.3469651; -1.2483074
0.7985810; 1.1443834; 1.4509393; 0.3752243; 0.9692551; 3.3095251; -1.2102659
0.8984036; 1.1029862; 1.5425248; 0.4745056; 1.0101766; 3.2728172; -1.1888825
0.9982263; 1.0529647; 1.6288002; 0.5766784; 1.0350454; 3.2363526; -0.9495811
1.0980489; 0.9941740; 1.7095998; 0.6820616; 1.0773409; 3.2069298; -0.7834196
1.1978715; 0.9270224; 1.7836251; 0.7919524; 1.1103402; 3.1824507; -0.6102914
1.2976941; 0.8521875; 1.8496568; 0.9041817; 1.1411279; 3.1632500; -0.3725977
1.3975168; 0.7703112; 1.9067466; 1.0202538; 1.1735860; 3.1514700; -0.3330835
1.4973394; 0.6822537; 1.9539183; 1.1379531; 1.1854829; 3.1409019; -0.0281704
1.5971620; 0.5895308; 1.9902334; 1.2576451; 1.2170829; 3.1400065; -0.0281704
1.6969846; 0.4924862; 2.0152895; 1.3781716; 1.1915241; 3.1391108; 0.2305469
1.7968073; 0.3939277; 2.0285129; 1.4967951; 1.1987667; 3.1464336; 0.1038712
1.8966299; 0.2932135; 2.0299922; 1.6133648; 1.0932231; 3.1497272; 1.1260268
1.9964525; 0.1942572; 2.0205523; 1.7167896; 0.9938092; 3.1852139; 1.8882341
2.0962751; 0.0955202; 2.0010611; 1.8135577; 0.9291296; 3.2438503; 2.1931093
2.1960978; 0.0003352; 1.9728996; 1.9020282; 0.8497231; 3.3106508; 2.6553721
2.2959204; -0.0927769; 1.9365073; 1.9842257; 0.8121357; 3.3897700; 2.6352912
2.3957430; -0.1819160; 1.8930869; 2.0633777; 0.7786871; 3.4665061; 2.6084450
2.4955656; -0.2681380; 1.8424587; 2.1398185; 0.7572836; 3.5408230; 2.4697897
2.5953883; -0.3495853; 1.7859863; 2.2139346; 0.7359745; 3.6097797; 2.3726472
2.6952109; -0.4275431; 1.7229586; 2.2873571; 0.7292281; 3.6748058; 2.1137769
2.7950335; -0.5001085; 1.6549935; 2.3594215; 0.7196318; 3.7317828; 1.9384720
2.8948562; -0.5680441; 1.5815262; 2.4310535; 0.7127706; 3.7832803; 1.7570705
2.9946788; -0.6304504; 1.5035607; 2.5019748; 0.7038889; 3.8293603; 1.6362762
3.0945014; -0.6870634; 1.4216502; 2.5715245; 0.6946781; 3.8717793; 1.5434754
3.1943240; -0.7382942; 1.3352916; 2.6404371; 0.6754643; 3.9113710; 1.6089576
3.2941467; -0.7831218; 1.2465628; 2.7068783; 0.6574644; 3.9522201; -1.6422371
3.3939693; -0.8223165; 1.1545104; 2.7705051; 0.6137476; 3.9105215; -2.5060575
3.4937919; -0.8558871; 1.0599408; 2.8295610; 0.5603837; 3.8460182; -3.5884083
3.5936145; -0.8837895; 0.9647814; 2.8821393; 0.4953142; 3.7517259; -4.8180128
3.6934372; -0.9070935; 0.8682033; 2.9251951; 0.3562909; 3.6212642; -5.8006931
3.7932598; -0.9264789; 0.7708258; 2.9681525; 0.5213901; 3.4576688; -4.3492391
3.8930824; -0.9408201; 0.6728423; 3.0272994; 0.6929126; 3.3297400; -3.1458823
3.9929050; -0.9484953; 0.5728204; 3.1053523; 0.8494033; 3.2340544; -2.3115928
4.0927277; -0.9476721; 0.4729045; -3.0868319; 0.9719295; 3.1618996; -1.5632284
4.1925503; -0.9372354; 0.3738775; -2.9846005; 1.0804217; 3.1121565; -0.7180877
4.2923729; -0.9160180; 0.2758942; -2.8701788; 1.1851804; 3.0890379; -0.0272478
4.3921955; -0.8835329; 0.1815393; -2.7486355; 1.2582948; 3.0881573; -0.0272478
4.4920182; -0.8395377; 0.0919070; -2.6231460; 1.2070409; 3.0872764; 0.4681286
4.5918408; -0.7850561; 0.0082181; -2.5074200; 1.1098112; 3.1023758; 1.2908614
4.6916634; -0.7217384; -0.0689212; -2.4033728; 0.9762610; 3.1436364; 2.3239147
4.7914860; -0.6512677; -0.1394602; -2.3118134; 0.8649667; 3.2165833; 3.0211398
4.8913087; -0.5748895; -0.2037446; -2.2308827; 0.7546113; 3.3090126; 3.7060507
4.9911313; -0.4942335; -0.2617639; -2.1587819; 0.6969999; 3.4189852; 3.8190492
5.0909539; -0.4096072; -0.3141583; -2.0922976; 0.6592842; 3.5287271; -0.1073716
5.1907765; -0.3216374; -0.3609143; -2.0264464; 0.6539981; 3.5256884; -3.5305338
5.2905992; -0.2316745; -0.4014339; -1.9601274; 0.7251612; 3.4242699; -3.1406182
5.3904218; -0.1367672; -0.4361965; -1.8823974; 0.8010993; 3.3314584; -2.5564262
5.4902444; -0.0418998; -0.4625475; -1.7994380; 0.8947501; 3.2539571; -1.6103181
5.5900671; 0.0577156; -0.4808114; -1.7027830; 1.0148315; 3.2041760; -1.1362178
5.6898897; 0.1567145; -0.4887707; -1.5982376; 1.0849175; 3.1685807; -0.1843548
