# x_m,y_m,w_tr_right_m,w_tr_left_m
1.323607,0.647708,0.666984,0.666984
1.294361,0.794591,0.423641,0.423641
1.237254,0.933041,0.425555,0.425555
1.154520,1.057879,0.429633,0.429633
1.049550,1.164707,0.437681,0.437681
0.926400,1.249970,0.455187,0.455187
0.789920,1.311736,0.497255,0.497255
0.645121,1.350324,0.616527,0.616527
0.496442,1.369643,0.745970,0.745970
0.346739,1.379008,0.690323,0.690323
0.197414,1.392815,0.659962,0.659962
0.050013,1.420325,0.667852,0.667852
-0.095462,1.456867,0.660579,0.660579
-0.240962,1.493313,0.695939,0.695939
-0.387945,1.523125,0.732853,0.732853
-0.536694,1.542104,0.804822,0.804822
-0.686543,1.547061,0.736974,0.736974
-0.835983,1.535264,0.629236,0.629236
-0.982550,1.503962,0.538944,0.538944
-1.122568,1.450655,0.462583,0.462583
-1.250878,1.373412,0.401826,0.401826
-1.360684,1.271657,0.360333,0.360333
-1.444595,1.147748,0.341390,0.341390
-1.496592,1.007445,0.346229,0.346229
-1.514170,0.858826,0.372999,0.372999
-1.498840,0.709897,0.416951,0.416951
-1.454428,0.566855,0.471755,0.471755
-1.385802,0.433671,0.530669,0.530669
-1.297314,0.312720,0.587730,0.587730
-1.192667,0.205411,0.638254,0.638254
-1.075033,0.112503,0.679446,0.679446
-0.947010,0.034509,0.711102,0.711102
-0.810787,-0.028089,0.737497,0.737497
-0.668440,-0.075145,0.712182,0.712182
-0.521891,-0.106833,0.671091,0.671091
-0.373035,-0.125010,0.666594,0.666594
-0.223448,-0.136110,0.631273,0.631273
-0.074819,-0.155668,0.608972,0.608972
0.070738,-0.191766,0.650000,0.650000
0.216407,-0.227427,0.672356,0.672356
0.364847,-0.248293,0.591269,0.591269
0.514710,-0.248524,0.540970,0.540970
0.662860,-0.226057,0.517281,0.517281
0.805572,-0.180414,0.499599,0.499599
0.938797,-0.111871,0.483078,0.483078
1.058443,-0.021715,0.467192,0.467192
1.160369,0.088062,0.452734,0.452734
1.240675,0.214497,0.440699,0.440699
1.296077,0.353640,0.431787,0.431787
1.324084,0.500758,0.426210,0.426210
