# x_m,y_m,w_tr_right_m,w_tr_left_m
1.366852,0.624435,1.175000,1.175000
1.369740,0.774357,0.700000,0.700000
1.359359,0.923948,0.525000,0.525000
1.335796,1.072033,0.417820,0.417820
1.298830,1.217350,0.225000,0.225000
1.248047,1.358424,0.220000,0.220000
1.183152,1.493581,0.220000,0.220000
1.103802,1.620778,0.220000,0.220000
1.010181,1.737854,0.220000,0.220000
0.902917,1.842565,0.220000,0.220000
0.783212,1.932784,0.220000,0.220000
0.652881,2.006825,0.220000,0.220000
0.514169,2.063636,0.220000,0.220000
0.369454,2.102729,0.220000,0.220000
0.221069,2.124067,0.220000,0.220000
0.071204,2.127978,0.500000,0.500000
-0.078159,2.115061,0.500000,0.500000
-0.225214,2.085863,0.842560,0.842560
-0.368274,2.041010,0.916253,0.916253
-0.505778,1.981253,0.922276,0.922276
-0.636193,1.907288,0.928245,0.928245
-0.758136,1.820060,0.938020,0.938020
-0.870408,1.720689,0.954328,0.954328
-0.971923,1.610346,0.958407,0.958407
-1.061987,1.490473,0.925000,0.925000
-1.140045,1.362451,0.707259,0.707259
-1.205756,1.227672,0.625000,0.625000
-1.258878,1.087450,0.625000,0.625000
-1.299154,0.943012,0.625000,0.625000
-1.326206,0.795526,0.625000,0.625000
-1.339526,0.646176,0.625000,0.625000
-1.338326,0.496244,0.575000,0.575000
-1.321595,0.347256,0.650000,0.650000
-1.288214,0.201110,0.625000,0.625000
-1.237037,0.060227,0.550000,0.550000
-1.167320,-0.072442,0.512648,0.512648
-1.079180,-0.193638,0.475000,0.475000
-0.973928,-0.300313,0.653934,0.653934
-0.853992,-0.390177,0.692359,0.692359
-0.722655,-0.462395,0.760845,0.760845
-0.583154,-0.517268,0.854968,0.854968
-0.438293,-0.555906,0.966849,0.966849
-0.290259,-0.579746,1.084528,1.084528
-0.140667,-0.590171,1.025000,1.025000
0.009281,-0.588258,0.396461,0.396461
0.158640,-0.574808,0.220000,0.220000
0.306558,-0.550128,0.220000,0.220000
0.452115,-0.514061,0.220000,0.220000
0.594131,-0.465931,0.220000,0.220000
0.730982,-0.404672,0.898923,0.898923
0.860360,-0.328935,0.780657,0.780657
0.979282,-0.237695,0.703796,0.703796
1.084533,-0.131002,0.676083,0.676083
1.173539,-0.010422,0.573871,0.573871
1.245057,0.121305,0.768725,0.768725
1.299378,0.261028,0.751780,0.751780
1.337530,0.406020,0.600000,0.600000
1.360771,0.554146,1.042138,1.042138
